Lower Case,Remove Stop Words,Stem,Max Features,N-gram Range,TF,TFIDF,Alpha_Naive_Bayes,Binarize_Naive_Bayes,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Functional-Method Precision,Functional-Method Recall,Functional-Method F1-Score,Functional-Method Support,Functional-Module Precision,Functional-Module Recall,Functional-Module F1-Score,Functional-Module Support,Functional-Inline Precision,Functional-Inline Recall,Functional-Inline F1-Score,Functional-Inline Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support,ToDo Precision,ToDo Recall,ToDo F1-Score,ToDo Support
False,False,False,1000,1.1,False,False,1,0.0,90.56192253020612,0.827322524152226,0.8637376578973541,0.8379865783782783,0.906277772417287,0.9195421366954214,0.9127394607041273,274.7,0.7526353798805516,0.8805504019789735,0.8113625079126588,98.8,0.925329496762294,0.666883116883117,0.7749172603920542,154.0,0.5416666666666666,0.7166666666666667,0.606111111111111,3.3,0.9970827833377334,0.9918434652522778,0.9944469317714846,171.7,0.977653394214172,0.9985226185595188,0.9879550673319789,270.6,0.6294836592906231,0.7814285714285714,0.6964862901552922,49.9,0.8884510406484798,0.9544642857142858,0.9198739976475198,48.2
False,False,False,1000,1.1,False,False,0.001,0.0,90.06715372716252,0.8446962865447718,0.8487856080051337,0.8393723066968896,0.8814488482069456,0.9250019907100198,0.9025339020035453,274.7,0.7619611885577122,0.8238404452690167,0.7910008781267013,98.8,0.9074907704583488,0.6584415584415584,0.7628191146923228,154.0,0.7083333333333333,0.65,0.6547619047619048,3.3,0.9982490140078879,0.9906772745818031,0.994434936998638,171.7,0.9783701643915798,0.9988916222495557,0.9885021654666518,270.6,0.6335172624848812,0.8015102040816326,0.7069575091617452,49.9,0.8881997109174848,0.9419217687074829,0.9139680423636072,48.2
False,False,False,1000,1.1,False,False,1e-05,0.0,89.78708523210281,0.8478235702518602,0.8368821361402763,0.8317045065306417,0.8739294726080427,0.9271877903118779,0.8995741153935916,274.7,0.7598229496156007,0.8106988249845392,0.783742552924976,98.8,0.9043138476040266,0.6545454545454547,0.758912176129434,154.0,0.7583333333333333,0.6,0.627142857142857,3.3,0.9982490140078879,0.9906772745818031,0.994434936998638,171.7,0.9783701643915798,0.9988916222495557,0.9885021654666518,270.6,0.6247913849162242,0.7795102040816327,0.692940629388245,49.9,0.8847783955381863,0.9335459183673469,0.9083866188007397,48.2
False,False,False,1000,1.1,True,False,1,0.0,89.58177425198937,0.7731852710378553,0.74703543453064,0.7560160631137699,0.8173806641878342,0.9657810218978102,0.8852684796223738,274.7,0.798578670333941,0.7813234384662956,0.7892458614642417,98.8,0.9309589014018884,0.6649350649350649,0.7751908430035128,154.0,0.0,0.0,0.0,3.3,0.9924880951219766,0.9930062559499524,0.9927246301794057,171.7,0.9699304803618418,0.9852138854721879,0.9774680322633561,270.6,0.7172077644183021,0.6752244897959183,0.6942294661445373,49.9,0.9589375924770586,0.910799319727891,0.9340011922327331,48.2
False,False,False,1000,1.1,True,False,0.001,0.0,90.3472570620288,0.8635460635742829,0.8386549764531323,0.8440467808930897,0.8346548099937416,0.9566768414067685,0.8913538324812313,274.7,0.7966789878302822,0.8065965780251496,0.800323832085408,98.8,0.9254062295056965,0.6545454545454548,0.7662481255974535,154.0,0.725,0.625,0.6500000000000001,3.3,0.9982556953417205,0.9906772745818031,0.9944365923774644,171.7,0.9919613567324232,0.9988916222495557,0.9954040295981326,270.6,0.6970837406681815,0.7473877551020409,0.7203869454432453,49.9,0.9393276885222175,0.9294642857142857,0.9342208895617828,48.2
False,False,False,1000,1.1,True,False,1e-05,0.0,90.06720598687238,0.8621427145021631,0.8197576872344143,0.8311070137756171,0.82604148757052,0.9566768414067685,0.8863968509825682,274.7,0.7977665095438881,0.7914244485673055,0.7933230999546168,98.8,0.9214708739208894,0.6532467532467532,0.7639496297038127,154.0,0.7333333333333333,0.5083333333333333,0.5733333333333335,3.3,0.9982556953417205,0.9906772745818031,0.9944365923774644,171.7,0.9919613567324232,0.9988916222495557,0.9954040295981326,270.6,0.6927904246736128,0.72934693877551,0.7096751424512662,49.9,0.9355220349009169,0.9294642857142857,0.9323374318037441,48.2
False,False,False,1000,1.1,False,True,1,0.0,89.22710502111293,0.7734097186372724,0.743221755180701,0.7536805530640563,0.7946225061634092,0.967965494359655,0.8726771857543717,274.7,0.8237466827051406,0.6993300350443207,0.7556845099850332,98.8,0.9123954230330037,0.6707792207792208,0.772711125394378,154.0,0.0,0.0,0.0,3.3,0.9965450800611254,0.9982558139534884,0.9973861947758591,171.7,0.9766785590871618,0.9852138854721879,0.9808831109860806,270.6,0.7859313296628664,0.7072653061224489,0.7434022413795638,49.9,0.8973581683854717,0.9169642857142856,0.9067000562371647,48.2
False,False,False,1000,1.1,False,True,0.001,0.0,89.22706147135473,0.8568488955167579,0.8115373682959325,0.8261279119801257,0.8090549127306043,0.9548573324485734,0.8758142791881875,274.7,0.8076065445762077,0.7165739022881878,0.7582937065933554,98.8,0.8956902372746383,0.6493506493506493,0.7522217319558693,154.0,0.7166666666666666,0.5416666666666667,0.5976190476190475,3.3,0.9982556953417205,0.9935978512171901,0.9959063130978327,171.7,0.9780031377470559,0.9985212518791855,0.9881339275023441,270.6,0.7278101639584197,0.73934693877551,0.7315755936150419,49.9,0.9217038058387523,0.8983843537414968,0.9094586962693274,48.2
False,False,False,1000,1.1,False,True,1e-05,0.0,88.8536571344956,0.8573223299147654,0.7940743113993185,0.8138422993836759,0.8012862104702811,0.9555859323158591,0.871544244899735,274.7,0.8052734874949706,0.7084724799010513,0.7527080684086427,98.8,0.895521149720698,0.6493506493506493,0.7519858621412121,154.0,0.7499999999999999,0.475,0.5538095238095238,3.3,0.9982556953417205,0.9935978512171901,0.9959063130978327,171.7,0.9780031377470559,0.9985212518791855,0.9881339275023441,270.6,0.7123395988070658,0.7153061224489795,0.7112957260471287,49.9,0.9178993597363316,0.8567602040816326,0.8853547291629876,48.2
False,False,False,1000,1.2,False,False,1,0.0,90.25385154061625,0.8131990465868066,0.8594965835244819,0.8226387840018431,0.9027163668815561,0.9242694094226941,0.913304470892683,274.7,0.7223568334653759,0.9280766852195423,0.8121797228991567,98.8,0.9650273697476563,0.6071428571428571,0.7451417454344545,154.0,0.42698412698412697,0.6833333333333333,0.5147591297591297,3.3,0.9976710186318509,0.9924248606011151,0.9950300071509982,171.7,0.9908325695261931,0.9966694000273335,0.9937329156318542,270.6,0.5953053901268023,0.7916326530612245,0.6792562325798452,49.9,0.9046986973308917,0.9524234693877551,0.9277060476666221,48.2
