Lower Case,Remove Stop Words,Stem,Max Features,N-gram Range,TF,TFIDF,Alpha_Naive_Bayes,Binarize_Naive_Bayes,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Functional Precision,Functional Recall,Functional F1-Score,Functional Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support,ToDo Precision,ToDo Recall,ToDo F1-Score,ToDo Support
False,False,False,1000,1.1,False,False,1,0.0,94.58553695109886,0.8087305303125726,0.8954455653747523,0.8403248704118818,0.9887351378722306,0.9131745586797766,0.9494218394229443,527.5,0.5069047619047619,0.6583333333333333,0.5581746031746031,3.3,0.9953213173966257,0.9924248606011151,0.9938620866239054,171.7,0.9933943544520792,0.9985212518791855,0.9959477200519444,270.6,0.5225503123142948,0.8496326530612244,0.6464970591740832,49.9,0.8454772979354443,0.9605867346938777,0.8980459140238104,48.2
False,False,False,1000,1.1,False,False,0.001,0.0,95.08966024220634,0.8468053869885044,0.890510854596954,0.8587489110424317,0.9819825964922568,0.9277751423149905,0.954085292933469,527.5,0.6849999999999999,0.6583333333333334,0.6435714285714285,3.3,0.9988164022831529,0.9906772745818031,0.9947143601990573,171.7,0.9937606843079969,0.9988916222495557,0.9963160529009457,270.6,0.551080608684353,0.8255510204081633,0.6603290648509901,49.9,0.8701920301632668,0.9418367346938776,0.9034772667986989,48.2
False,False,False,1000,1.1,False,False,1e-05,0.0,95.11766273673649,0.8676618158628667,0.8785328422776567,0.8613097244660605,0.9791151280325847,0.9302387010522685,0.9540202508169278,527.5,0.8083333333333332,0.6,0.660952380952381,3.3,0.9988164022831529,0.9906772745818031,0.9947143601990573,171.7,0.9937606843079969,0.9988916222495557,0.9963160529009457,270.6,0.5541574388745867,0.807469387755102,0.6563671182658581,49.9,0.8717879083455455,0.9439200680272111,0.9054881836611921,48.2
False,False,False,1000,1.1,True,False,1,0.0,95.58442904524995,0.7787244921726604,0.7138473598132606,0.73867548948884,0.9354578904356188,0.9909004657581507,0.9623647493912906,527.5,0.0,0.0,0.0,3.3,0.9947433220205888,0.9924248606011151,0.993573931494744,171.7,0.9918250542694311,0.9852248189148556,0.9884977268231822,270.6,0.7815137103241327,0.4807755102040816,0.5922910119051185,49.9,0.9688069759861913,0.8337585034013605,0.8953255173187047,48.2
False,False,False,1000,1.1,True,False,0.001,0.0,97.02202398372283,0.9062560770349032,0.8480186886201038,0.8671783751253017,0.9610950296807775,0.9863510580185151,0.9735318796538328,527.5,0.6916666666666667,0.5416666666666667,0.5716666666666667,3.3,0.9982316069615156,0.9906772745818031,0.9944245199521816,171.7,0.9952272718940289,0.9988916222495557,0.9970520328226249,270.6,0.833166707885899,0.6431020408163265,0.7243238366071723,49.9,0.9581491791205312,0.9274234693877551,0.9420713150493313,48.2
False,False,False,1000,1.1,True,False,1e-05,0.0,96.87268315286313,0.9085093015202801,0.8242514415453208,0.8548012211749964,0.9579024619716229,0.9865400925766199,0.9719883192246573,527.5,0.7166666666666667,0.425,0.5190476190476191,3.3,0.9982316069615156,0.9906772745818031,0.9944245199521816,171.7,0.9952272718940289,0.9988916222495557,0.9970520328226249,270.6,0.8291847153534458,0.6191020408163266,0.7072167347117688,49.9,0.9538430862743998,0.9252976190476192,0.9390781012911262,48.2
False,False,False,1000,1.1,False,True,1,0.0,96.16322275178729,0.786715174511366,0.7348715517781226,0.7534452313467026,0.9447569966779759,0.9910912972227013,0.9673573136553382,527.5,0.0,0.0,0.0,3.3,0.996483903108131,0.9918400652794777,0.9941432761881497,171.7,0.9940459086103572,0.9852248189148556,0.989595720481818,270.6,0.8833798730997009,0.5428163265306123,0.6701654729160762,49.9,0.9016243655720313,0.8982568027210884,0.8994096048388333,48.2
False,False,False,1000,1.1,False,True,0.001,0.0,96.62060844238192,0.9133352711498594,0.8271786169229118,0.8562453285545754,0.955861709174842,0.983886780518659,0.9696458717184125,527.5,0.775,0.4749999999999999,0.5578571428571428,3.3,0.9982316069615156,0.9906772745818031,0.9944245199521816,171.7,0.9948609420381114,0.9985212518791855,0.9966836999736236,270.6,0.8171678566124484,0.6229795918367347,0.7048577287740783,49.9,0.9388895121122387,0.8920068027210883,0.9140030080520132,48.2
False,False,False,1000,1.1,False,True,1e-05,0.0,96.39658848614073,0.8931468621468863,0.8113107030907122,0.8421504410491382,0.9530445575392157,0.983886780518659,0.9681972648592623,527.5,0.6833333333333333,0.425,0.5095238095238096,3.3,0.9982316069615156,0.9906772745818031,0.9944245199521816,171.7,0.9948609420381114,0.9985212518791855,0.9966836999736236,270.6,0.7920144591291612,0.6089795918367347,0.6876421333760843,49.9,0.9373962738799808,0.8607993197278911,0.8964312186098677,48.2
False,False,False,1000,1.2,False,False,1,0.0,93.56801427038478,0.7831801135038131,0.8896141490841485,0.8188409930989312,0.9911756157227689,0.892132065436145,0.938999989000493,527.5,0.39630952380952383,0.6333333333333333,0.47714285714285704,3.3,0.9907403070379031,0.9930062559499524,0.991851589993672,171.7,0.9915800820336689,0.9970397703977039,0.9942887752160647,270.6,0.46752658461058927,0.8637551020408164,0.6054113560049038,49.9,0.8617485678084249,0.9584183673469386,0.9053513912355969,48.2
