Lower Case,Remove Stop Words,Stem,Max Features,N-gram Range,TF,TFIDF,Alpha_Naive_Bayes,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Functional Precision,Functional Recall,Functional F1-Score,Functional Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support,ToDo Precision,ToDo Recall,ToDo F1-Score,ToDo Support
True,False,False,1000,1.2,False,True,2,96.20982970302549,0.7977592420244577,0.7414415551038338,0.7629973834575647,0.949100564922087,0.9888146167557931,0.9685393915671359,527.5,0.0,0.0,0.0,3.3,0.9895843245156428,0.9930096559227526,0.9912821309718811,171.7,0.992914307186019,0.9830053300533004,0.9879239537908585,270.6,0.8931017903326662,0.5689387755102041,0.6929058720619903,49.9,0.9618544651903316,0.9148809523809524,0.9373329523535231,48.2
True,False,False,1000,1.2,False,True,1,96.63924773889656,0.788607599931346,0.7669877687016875,0.7763640159046871,0.9637745236028044,0.9825595854177447,0.973059879323867,527.5,0.0,0.0,0.0,3.3,0.9913054468017914,0.9930096559227526,0.9921450133112604,171.7,0.992914307186019,0.9830053300533004,0.9879239537908585,270.6,0.8354942925190034,0.6932244897959183,0.7564701579956515,49.9,0.948157029478458,0.9501275510204084,0.9485850910064849,48.2
True,False,False,1000,1.2,False,True,0.5,96.64860222696043,0.7804374405086885,0.7741163086337781,0.7767194507648373,0.9688624685277724,0.9780098182968201,0.9733951956584252,527.5,0.0,0.0,0.0,3.3,0.9970826633222757,0.9930096559227526,0.9950317023550767,171.7,0.9929197739073528,0.9837447041137075,0.9882963729186234,270.6,0.7866859805250324,0.7273061224489795,0.7543350868084329,49.9,0.9370737567696985,0.9626275510204081,0.9492583468484656,48.2
True,False,False,1000,1.2,False,True,0.25,96.4899156179885,0.7765271720724389,0.7824773806774538,0.7787372694477541,0.9708936001842415,0.9725112845724802,0.9716802779491818,527.5,0.02,0.03333333333333333,0.025,3.3,0.9982454540199501,0.9930096559227526,0.9956096977311137,171.7,0.9929197739073528,0.9837447041137075,0.9882963729186234,270.6,0.754241150710036,0.7433877551020408,0.7469587390567748,49.9,0.9228630536130537,0.9688775510204082,0.9448785290308305,48.2
True,False,False,1000,1.2,False,True,0.1,96.50860717421297,0.8056607506203572,0.8295115858842349,0.8137282313977678,0.9734210569283068,0.9702364010120178,0.971803993885261,527.5,0.1967099567099567,0.3166666666666667,0.2353968253968254,3.3,0.9988234887020312,0.9930096559227526,0.9958995528035774,171.7,0.9929321765505907,0.9852248189148556,0.9890453761199944,270.6,0.7395393698142582,0.7513877551020408,0.7441957602889601,49.9,0.9325384550170005,0.9605442176870749,0.9460278798919888,48.2
True,False,False,1000,1.2,False,True,0.01,96.75135352648523,0.8509165082642598,0.8752596870361167,0.8562023233976193,0.9743432591938138,0.970047366453913,0.9721683871732412,527.5,0.4630769230769231,0.6,0.492420634920635,3.3,0.9988199665831246,0.9924248606011151,0.9956010971381255,171.7,0.9929989691575491,0.9955705890392238,0.9942614089934114,270.6,0.7384900486505389,0.7433877551020407,0.7394995882993581,49.9,0.9377698829236097,0.9501275510204081,0.9432628238609446,48.2
True,False,False,1000,1.2,False,True,0.001,96.89140083894256,0.8782478461684722,0.8722960053932708,0.870477679888584,0.9739786091853947,0.970236760393307,0.9720850460241838,527.5,0.6249999999999999,0.5666666666666667,0.568968253968254,3.3,0.9988199665831246,0.9924248606011151,0.9956010971381255,171.7,0.9930361541182983,0.9988916222495557,0.9959497562479644,270.6,0.7409494769051882,0.7554285714285714,0.7469242926872552,49.9,0.9377028702188277,0.9501275510204081,0.9433376332657213,48.2
True,False,False,1000,1.3,False,False,2,92.44772287024263,0.7747852915112583,0.8747503953366051,0.8060889084547194,0.992513324259719,0.8763987119774596,0.9307881647298288,527.5,0.4519047619047619,0.5666666666666667,0.4891269841269841,3.3,0.9907136508096827,0.9924248606011151,0.9915550428985533,171.7,0.9951557836812457,0.9830053300533004,0.9890280728472414,270.6,0.42565800224855027,0.8757551020408163,0.5718234396473603,49.9,0.7927662261635897,0.9542517006802722,0.864211746478348,48.2
True,False,False,1000,1.3,False,False,1,92.47580375433756,0.7703151638948469,0.8849173660749272,0.8070609652004697,0.9929333104234261,0.8758316083031452,0.9306509707658277,527.5,0.42130952380952386,0.6249999999999999,0.49190476190476184,3.3,0.9935905360664762,0.9924248606011151,0.9929942066956224,171.7,0.9951502656972687,0.984115074484078,0.9895860781023472,270.6,0.4264184675882171,0.8737142857142859,0.5720445626071021,49.9,0.7924888797841685,0.9584183673469386,0.8651852111271567,48.2
True,False,False,1000,1.3,False,False,0.5,92.84926906085819,0.7813955301269043,0.9016137303924701,0.8200815280732942,0.9929316734942762,0.8760202834799609,0.9307658891760454,527.5,0.43880952380952376,0.7166666666666666,0.5357570207570207,3.3,0.9970857459741309,0.9924248606011151,0.9947332222091688,171.7,0.9952259057610086,0.9985212518791855,0.996866501622635,270.6,0.42664435420657404,0.8697142857142858,0.5713993055879135,49.9,0.8376759775159124,0.9563350340136054,0.8909672290869814,48.2
