Lower Case,Remove Stop Words,Stem,Max Features,N-gram Range,TF,TFIDF,Alpha_Naive_Bayes,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Functional Precision,Functional Recall,Functional F1-Score,Functional Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support,ToDo Precision,ToDo Recall,ToDo F1-Score,ToDo Support
TRUE,FALSE,FALSE,5000,1.2,TRUE,FALSE,0.001,98.02095963,0.946561983,0.888624648,0.909370525,0.972121153,0.990143249,0.981035553,527.5,0.835,0.633333333,0.692380952,3.3,0.998255775,0.998833809,0.998542259,171.7,0.999630996,0.999260626,0.999444785,270.6,0.874363976,0.743510204,0.802028151,49.9,1,0.966666667,0.982791446,48.2
TRUE,FALSE,FALSE,5000,1.2,FALSE,TRUE,0.001,97.95563499,0.948346526,0.879082565,0.902739027,0.970018272,0.991470444,0.98060546,527.5,0.835,0.6,0.662380952,3.3,0.997106349,0.998252414,0.997672679,171.7,0.999263349,0.999260626,0.999260623,270.6,0.888691186,0.735469388,0.802373827,49.9,1,0.950042517,0.974140617,48.2
TRUE,FALSE,FALSE,5000,1.3,FALSE,FALSE,0.001,97.87162751,0.931589801,0.886350882,0.900071767,0.97151178,0.988248951,0.979798761,527.5,0.766666667,0.633333333,0.653571429,3.3,0.996541528,0.998833809,0.997677721,171.7,1,0.999260626,0.999629628,270.6,0.858946488,0.725469388,0.78563652,49.9,0.99587234,0.972959184,0.984116541,48.2
TRUE,FALSE,FALSE,5000,1.3,TRUE,FALSE,0.001,97.96494593,0.944781974,0.888133367,0.908310117,0.971919622,0.989195561,0.980464857,527.5,0.835,0.633333333,0.692380952,3.3,0.998255775,0.998833809,0.998542259,171.7,0.999630996,0.999260626,0.999444785,270.6,0.863885453,0.741510204,0.796236401,49.9,1,0.966666667,0.982791446,48.2
TRUE,FALSE,FALSE,5000,1.3,FALSE,TRUE,0.001,97.93696956,0.946509547,0.88023447,0.902511639,0.969977189,0.991091297,0.98041215,527.5,0.835,0.608333333,0.665714286,3.3,0.998255775,0.998833809,0.998542259,171.7,0.999630996,0.999260626,0.999444785,270.6,0.878276656,0.723428571,0.792305664,49.9,0.997916667,0.960459184,0.97865069,48.2
TRUE,FALSE,TRUE,1000,1.1,FALSE,FALSE,0.001,97.67551424,0.930966702,0.876347328,0.892261861,0.972503301,0.983888577,0.978139833,527.5,0.8,0.566666667,0.620238095,3.3,0.994245583,0.998249014,0.996230033,171.7,0.998537462,0.998890256,0.998709479,270.6,0.826723156,0.735346939,0.776116078,49.9,0.993790708,0.975042517,0.984137645,48.2
TRUE,FALSE,TRUE,1000,1.1,TRUE,FALSE,0.001,97.91829543,0.940158743,0.88434104,0.90157,0.972264323,0.988439423,0.980266718,527.5,0.816666667,0.608333333,0.654761905,3.3,0.998248935,0.997664219,0.997954039,171.7,0.998901099,0.999260626,0.999077142,270.6,0.854871438,0.739346939,0.791226963,49.9,1,0.973001701,0.98613323,48.2
TRUE,FALSE,TRUE,1000,1.1,FALSE,TRUE,0.001,97.84357275,0.934760317,0.880738132,0.897605525,0.971521175,0.988438704,0.979897945,527.5,0.791666667,0.6,0.640714286,3.3,0.997099509,0.997082823,0.997084459,171.7,0.99962963,0.998890256,0.999259258,270.6,0.848644921,0.735306122,0.786889855,49.9,1,0.964710884,0.981787347,48.2
TRUE,FALSE,TRUE,1000,1.2,FALSE,FALSE,0.001,97.55421074,0.91031835,0.887623482,0.893726589,0.971552747,0.982750058,0.977104793,527.5,0.706666667,0.658333333,0.655714286,3.3,0.997687784,0.999418605,0.99854733,171.7,1,0.998890256,0.9994441,270.6,0.800462194,0.711306122,0.751512897,49.9,0.985540708,0.975042517,0.980036132,48.2
TRUE,FALSE,TRUE,1000,1.2,TRUE,FALSE,0.001,97.79689612,0.944316782,0.878333958,0.90208169,0.970260125,0.988437985,0.979252714,527.5,0.858333333,0.6,0.680714286,3.3,0.998830409,0.998249014,0.998538864,171.7,0.999630996,0.999260626,0.999444785,270.6,0.845287033,0.717346939,0.7747713,49.9,0.993558797,0.966709184,0.979768189,48.2
TRUE,FALSE,TRUE,1000,1.2,FALSE,TRUE,0.001,97.72223442,0.945642079,0.873787912,0.897751069,0.970603577,0.98711079,0.978770766,527.5,0.883333333,0.575,0.664761905,3.3,0.997109749,0.999418605,0.998257475,171.7,0.999260626,0.998890256,0.999074415,270.6,0.83410873,0.709306122,0.764686893,49.9,0.989436456,0.973001701,0.98095496,48.2
