Lower Case,Remove Stop Words,Stem,Max Features,N-gram Range,TF,TFIDF,Alpha_Naive_Bayes,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Functional-Method Precision,Functional-Method Recall,Functional-Method F1-Score,Functional-Method Support,Functional-Module Precision,Functional-Module Recall,Functional-Module F1-Score,Functional-Module Support,Functional-Inline Precision,Functional-Inline Recall,Functional-Inline F1-Score,Functional-Inline Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support,ToDo Precision,ToDo Recall,ToDo F1-Score,ToDo Support
TRUE,FALSE,FALSE,5000,1.1,TRUE,FALSE,0.001,95.85512563,0.915549867,0.883536191,0.892058403,0.974301095,0.961404114,0.967736849,274.7,0.857335693,0.912894249,0.883974131,98.8,0.918599359,0.935714286,0.926964597,154,0.758333333,0.525,0.586190476,3.3,0.997691145,0.997671019,0.997670969,171.7,0.999632353,0.999260626,0.999445466,270.6,0.830455508,0.76955102,0.797616542,49.9,0.988050446,0.966794218,0.976868191,48.2
TRUE,FALSE,FALSE,5000,1.1,FALSE,TRUE,0.001,95.20161796,0.92080362,0.866397614,0.882187079,0.971016711,0.961769078,0.966307003,274.7,0.855385311,0.858266337,0.856523091,98.8,0.874489236,0.928571429,0.90059722,154,0.833333333,0.458333333,0.56047619,3.3,0.99595368,0.998837209,0.997382829,171.7,0.999264706,0.998891622,0.999075777,270.6,0.848997599,0.753510204,0.79696854,49.9,0.987988387,0.973001701,0.980165978,48.2
TRUE,FALSE,FALSE,5000,1.2,FALSE,FALSE,0.001,96.00446646,0.918578315,0.891812082,0.898904887,0.979321527,0.958857332,0.968916701,274.7,0.84395154,0.929117708,0.884175179,98.8,0.921037573,0.942207792,0.931336898,154,0.751666667,0.583333333,0.626666667,3.3,0.995960094,0.998833809,0.997387856,171.7,1,0.999260626,0.999629628,270.6,0.864813266,0.743591837,0.797779211,49.9,0.99187585,0.979294218,0.98534696,48.2
TRUE,FALSE,FALSE,5000,1.2,TRUE,FALSE,0.001,96.01385579,0.918326651,0.889723118,0.897775314,0.982298336,0.962135368,0.972029565,274.7,0.863508921,0.911884148,0.886579948,98.8,0.909555132,0.940909091,0.924824963,154,0.766666667,0.558333333,0.617619048,3.3,0.998255775,0.998833809,0.998542259,171.7,0.999632353,0.999260626,0.999445466,270.6,0.830696021,0.77755102,0.801224058,49.9,0.996,0.968877551,0.981937203,48.2
TRUE,FALSE,FALSE,5000,1.2,FALSE,TRUE,0.001,95.39772252,0.908605928,0.878456532,0.886675836,0.978654556,0.963588587,0.970987625,274.7,0.85813964,0.874427953,0.865628213,98.8,0.87546394,0.924025974,0.898802346,154,0.725,0.533333333,0.57952381,3.3,0.997122924,0.998837209,0.997967561,171.7,0.999632353,0.999260626,0.999445466,270.6,0.843007923,0.77155102,0.804263916,49.9,0.991826087,0.962627551,0.976787747,48.2
TRUE,FALSE,FALSE,5000,1.3,FALSE,FALSE,0.001,95.9858533,0.917869976,0.891553527,0.898577531,0.979259624,0.959220969,0.969096514,274.7,0.845441594,0.924036281,0.882718435,98.8,0.919832742,0.942857143,0.931068387,154,0.751666667,0.583333333,0.626666667,3.3,0.99538542,0.998833809,0.997099686,171.7,1,0.999260626,0.999629628,270.6,0.863339451,0.745591837,0.798993343,49.9,0.988034314,0.979294218,0.983347585,48.2
TRUE,FALSE,FALSE,5000,1.3,TRUE,FALSE,0.001,95.99518165,0.919093804,0.894036403,0.900121363,0.982217787,0.96249635,0.972208205,274.7,0.863541197,0.913914657,0.887675045,98.8,0.908345554,0.935064935,0.921393636,154,0.775,0.591666667,0.636666667,3.3,0.998259175,0.999418605,0.998835509,171.7,0.999632353,0.999260626,0.999445466,270.6,0.831837697,0.781591837,0.803839873,49.9,0.993916667,0.968877551,0.980906501,48.2
TRUE,FALSE,FALSE,5000,1.3,FALSE,TRUE,0.001,95.36037425,0.911423072,0.883226763,0.890561664,0.978270044,0.963591241,0.970803879,274.7,0.851785475,0.881519274,0.866124945,98.8,0.878283709,0.913636364,0.895429464,154,0.758333333,0.566666667,0.612857143,3.3,0.998259175,0.998837209,0.998542259,171.7,0.999632353,0.999260626,0.999445466,270.6,0.835042707,0.777591837,0.803518174,49.9,0.991777778,0.964710884,0.977771985,48.2
TRUE,FALSE,TRUE,1000,1.1,FALSE,FALSE,0.001,95.3603307,0.915835781,0.878458961,0.888929555,0.968998863,0.951211679,0.959919576,274.7,0.82895332,0.90177283,0.863366273,98.8,0.912653112,0.931818182,0.921906687,154,0.791666667,0.525,0.59952381,3.3,0.994807308,0.998833809,0.996808131,171.7,1,0.998519885,0.999258571,270.6,0.839896098,0.747428571,0.789540798,49.9,0.989710884,0.973086735,0.981112594,48.2
TRUE,FALSE,TRUE,1000,1.1,TRUE,FALSE,0.001,95.36972874,0.905776551,0.882543018,0.887825225,0.969407857,0.95521566,0.962199078,274.7,0.838932777,0.898742527,0.867689736,98.8,0.908517276,0.924025974,0.916044089,154,0.715,0.558333333,0.590634921,3.3,0.997691145,0.998252414,0.997962515,171.7,0.999264706,0.999260626,0.999261304,270.6,0.827405153,0.753469388,0.787657454,49.9,0.989993497,0.973044218,0.981152706,48.2
