Lower Case,Remove Stop Words,Stem,Max Features,N-gram Range,TF,IDF,TFIDF,Accuracy,Precision,Recall,F1-Score,Functional Precision,Functional Recall,Functional F1-Score,Functional Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support,ToDo Precision,ToDo Recall,ToDo F1-Score,ToDo-Support
True,True,True,1000,"(1, 1)",False,false,False,0.9683557004891508,0.8741729245025571,0.8287925883130235,0.8368284197888226,0.9625198019274489,0.9795282042435742,0.9705182324822091,527.5,0.525,0.4083333333333333,0.44857142857142857,3.3,0.986535171567662,0.9982524139806881,0.9922758874620536,171.7,0.9981658047834518,0.9992606259395928,0.9987088180464181,270.6,0.7768167687367795,0.6038775510204082,0.6213587138016126,49.9,0.9960000000000001,0.9835034013605443,0.9895374383692129,48.2
True,True,True,1000,"(1, 1)",True,false,False,0.9660220431456163,0.8695660648568845,0.7680920903150098,0.7883606406509278,0.946285977255234,0.9922276608590648,0.9682741004034163,527.5,0.4333333333333333,0.19999999999999998,0.2633333333333333,3.3,0.9932500222756838,0.9976676186590506,0.9953965316774221,171.7,0.9985454545454544,0.9988902555692224,0.9987114988699355,270.6,0.8501482683982685,0.48987755102040814,0.5446686060608084,49.9,0.9958333333333333,0.9298894557823129,0.959779773560651,48.2
True,True,True,1000,"(1, 1)",False,false,True,0.9647148536031327,0.8324199882055223,0.743507225944396,0.7600886211208285,0.9405233526762764,0.9956407049623367,0.9669530086248586,527.5,0.2,0.06666666666666667,0.1,3.3,0.9988338093295253,0.995923432612539,0.997369243436723,171.7,0.9988689941625506,0.9911288779554461,0.9949172031639687,270.6,0.8604604397314481,0.4838775510204082,0.5428857694234287,49.9,0.9958333333333333,0.9278061224489796,0.9584065020759927,48.2
True,True,True,1000,"(1, 2)",False,false,False,0.970875837897348,0.9009979833188121,0.8415566833449756,0.8510108599030579,0.9643864437355314,0.9819903254556955,0.972695799247667,527.5,0.65,0.4583333333333333,0.5033333333333333,3.3,0.9882279304051778,0.9982524139806881,0.9931339907985002,171.7,0.9992633492511395,0.9992606259395928,0.9992606234133294,270.6,0.8081101765210237,0.6259591836734695,0.6470730464212523,49.9,0.9960000000000001,0.9855442176870749,0.9905683662042645,48.2
True,True,True,1000,"(1, 2)",True,false,False,0.967235426508912,0.838057509242075,0.7576385310566167,0.7716086385308822,0.9492592720972779,0.9914693663389107,0.9694770856183517,527.5,0.25,0.1,0.13999999999999999,3.3,0.9938180908425565,0.9988338093295253,0.9962729071884123,171.7,0.9985293918873255,0.9988902555692224,0.9987074526500231,270.6,0.84073830062529,0.4998775510204081,0.5501068383197298,49.9,0.9960000000000001,0.9567602040816328,0.975087547408776,48.2
True,True,True,1000,"(1, 2)",False,false,True,0.9646218313195926,0.8022838042108145,0.742599052397195,0.7532560112461321,0.9447924295026295,0.992985955379219,0.967910891316396,527.5,0.1,0.03333333333333333,0.05,3.3,0.9948696079630661,0.9924010607915136,0.9934833570535233,171.7,0.9996323529411765,0.9926103594369277,0.9960492467560951,270.6,0.7806159178512121,0.49991836734693873,0.5450072136367574,49.9,0.9937925170068029,0.9443452380952382,0.9670853587140208,48.2
True,True,True,1000,"(1, 3)",False,false,False,0.9645271541452403,0.8894347417029819,0.8232836353188546,0.8360561738526467,0.9562597401291567,0.9778193462135588,0.9664471754415851,527.5,0.6333333333333333,0.4083333333333333,0.47190476190476194,3.3,0.9887460189091428,0.9848259213926289,0.9863872325298209,171.7,0.9996323529411765,0.9992606259395928,0.9994454662968785,270.6,0.7626370049050812,0.5839183673469389,0.6015840407385694,49.9,0.9960000000000001,0.9855442176870749,0.9905683662042645,48.2
True,True,True,1000,"(1, 3)",True,false,False,0.9652751647922851,0.8117871158955093,0.7526787685046614,0.7633050583623664,0.9472467604048044,0.9903330027025472,0.9679481349885795,527.5,0.13333333333333333,0.1,0.11333333333333333,3.3,0.9943927648578811,0.9982524139806881,0.9962695318674619,171.7,0.9992673992673993,0.9988902555692224,0.9990764525437127,270.6,0.8004824375096382,0.4738775510204081,0.5292447728654059,49.9,0.9960000000000001,0.954719387755102,0.9739581245757047,48.2
True,True,True,1000,"(1, 3)",False,false,True,0.9641548908120463,0.8071176646980138,0.7404147590508894,0.7533970275597115,0.9433936603809322,0.9916598384221723,0.966619494888293,527.5,0.1,0.03333333333333333,0.05,3.3,0.9938180908425565,0.9982524139806881,0.995981361998908,171.7,0.9996323529411765,0.9929793631269647,0.9962425627314134,270.6,0.8119843330030097,0.47783673469387755,0.5418115176746103,49.9,0.9938775510204083,0.9484268707482991,0.9697272280650446,48.2
True,True,True,5000,"(1, 1)",False,false,False,0.9677954763995149,0.8808589066967704,0.8247954168915678,0.8349311457759023,0.960007908283985,0.9818020096601691,0.9703436316438558,527.5,0.55,0.4083333333333333,0.4502380952380952,3.3,0.9860063204302516,0.9941622467020264,0.9899110811886886,171.7,0.9981658047834518,0.9992606259395928,0.9987088180464181,270.6,0.7949734066829334,0.5858775510204082,0.6130679766816314,49.9,0.9960000000000001,0.9793367346938776,0.9873172718567245,48.2
True,True,True,5000,"(1, 1)",True,false,False,0.9652751647922851,0.8736691958291303,0.7763666116105307,0.7963656258280819,0.9435748675248897,0.9935541371974008,0.9674559071401291,527.5,0.45,0.2666666666666667,0.32,3.3,0.9943927648578811,0.9912382700938392,0.9926348781735588,171.7,0.9989051094890511,0.9988902555692224,0.99889364088694,270.6,0.859309099769626,0.4758775510204082,0.5382038146556297,49.9,0.9958333333333333,0.9319727891156463,0.9610055141122343,48.2
True,True,True,5000,"(1, 1)",False,false,True,0.9570596771046727,0.8200612348425661,0.7213110817131949,0.7409045467483261,0.9262415306206814,0.9960187740785462,0.9594349074452468,527.5,0.1,0.03333333333333333,0.05,3.3,0.9938079695362436,0.9836563307493538,0.9883557529161925,171.7,0.9996323529411765,0.9826267596009295,0.990845482605244,270.6,0.907255604266474,0.44787755102040816,0.5257464947964917,49.9,0.9934299516908214,0.8843537414965986,0.9310446427267808,48.2
True,True,True,5000,"(1, 2)",False,false,False,0.9697558252156584,0.8966939305140654,0.829057372971573,0.8399166708233008,0.9623940614672701,0.9823705508596401,0.971802132290199,527.5,0.625,0.4083333333333333,0.4652380952380953,3.3,0.9876946015985804,0.9988338093295253,0.9931471427964855,171.7,0.9992633492511395,0.9992606259395928,0.9992606234133294,270.6,0.8098115707674023,0.5999591836734695,0.6194619612535356,49.9,0.9960000000000001,0.9855867346938776,0.9905900699481602,48.2
True,True,True,5000,"(1, 2)",True,false,False,0.9661149783296403,0.8434742945224303,0.7554172717998255,0.7716604930542974,0.9450288478562227,0.9935552153412683,0.9682461865973899,527.5,0.25,0.13333333333333333,0.17,3.3,0.9938180908425565,0.9982490140078879,0.9959779270262594,171.7,0.9992673992673993,0.9992606259395928,0.9992619813006701,270.6,0.8767314291684041,0.47383673469387755,0.5355900865287921,49.9,0.9960000000000001,0.9342687074829931,0.9608867768726729,48.2
True,True,True,5000,"(1, 2)",False,false,True,0.9607011336873057,0.819104786603176,0.7249083775553893,0.7410473890596626,0.9311721098839035,0.9973470473233281,0.9627417067689178,527.5,0.1,0.03333333333333333,0.05,3.3,0.9988439306358382,0.9959200326397388,0.9973691385192545,171.7,0.9996323529411765,0.985951892852262,0.992592562073594,270.6,0.889061958811199,0.43587755102040815,0.5025698179099516,49.9,0.9959183673469388,0.9010204081632652,0.9410111090862575,48.2
