Lower Case,Remove Stop Words,Stem,Max Features,N-gram Range,TF,IDF,TFIDF,Accuracy,Precision,Recall,F1-Score,Functional-Method Precision,Functional-Method Recall,Functional-Method F1-Score,Functional-Method Support,Functional-Module Precision,Functional-Module Recall,Functional-Module F1-Score,Functional-Module Support,Functional-Inline Precision,Functional-Inline Recall,Functional-Inline F1-Score,Functional-Inline Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support,ToDo Precision,ToDo Recall,ToDo F1-Score,ToDo-Support
True,True,True,1000,"(1, 1)",False,false,False,0.9047799343618046,0.8200089720016841,0.7999223017979438,0.8016086254388682,0.9503898515332289,0.9268055739880557,0.9375578211029639,274.7,0.672652959425984,0.6468047825190683,0.652563793395671,98.8,0.7633283589653214,0.8389610389610389,0.7973004141091157,154.0,0.465,0.3833333333333333,0.403015873015873,3.3,0.9858749924501101,0.9988372093023254,0.9922499325674418,171.7,0.9992633492511395,0.9992606259395928,0.9992606234133294,270.6,0.7275622643876888,0.622,0.6415204073085045,49.9,0.9960000000000001,0.9833758503401361,0.9894001385980458,48.2
True,True,True,1000,"(1, 1)",True,false,False,0.9045931058990762,0.8235403676616497,0.7795942573695996,0.7871941689115033,0.9469612690531604,0.9351745189117452,0.9405003923040957,274.7,0.6792223181614611,0.6833127190270047,0.6728425810890287,98.8,0.7518287861138508,0.8344155844155846,0.7879744337096072,154.0,0.4666666666666666,0.2833333333333333,0.3371428571428572,3.3,0.9943712962260651,0.9988372093023254,0.9965514901034803,171.7,0.997796811032105,0.9992606259395928,0.9985253406149385,270.6,0.7555574266929492,0.546,0.5889138185642314,49.9,0.9959183673469388,0.9564200680272108,0.9751024377637872,48.2
True,True,True,1000,"(1, 1)",False,false,True,0.9010458909932133,0.8133152194887472,0.7696447789502914,0.7758880628270445,0.9365737148004651,0.9348082282680823,0.9351041312873057,274.7,0.682904048709838,0.6711502782931353,0.6681319044819789,98.8,0.7371964555678236,0.8350649350649352,0.7798511647636948,154.0,0.4,0.225,0.27,3.3,0.9971164320380472,0.9970896232830138,0.997089588718201,171.7,0.9992492111787243,0.9914992483258166,0.9952952810219274,270.6,0.7576485602817457,0.5439999999999999,0.5851610966921127,49.9,0.9958333333333333,0.9585459183673469,0.9764713356511358,48.2
True,True,True,1000,"(1, 2)",False,false,False,0.9048722598492134,0.8316871388032115,0.8099553196973537,0.8117601688905791,0.9608902820097066,0.9253457199734573,0.9417573467329934,274.7,0.6766119540478138,0.643805400948258,0.6518230916576655,98.8,0.7509793611891871,0.8422077922077923,0.7920080659043556,154.0,0.55,0.45,0.47603174603174603,3.3,0.9881229568138062,0.9936046511627905,0.9907006311112301,171.7,1.0,0.9992606259395928,0.9996296283594936,270.6,0.7308925563651782,0.6419999999999999,0.6526866025686352,49.9,0.9960000000000001,0.9834183673469388,0.989444238758515,48.2
True,True,True,1000,"(1, 2)",True,false,False,0.9055259417199716,0.7964348513454964,0.7752857561876627,0.7765017213382587,0.9652458627384167,0.9355341738553419,0.9495143045176488,274.7,0.6670387916640184,0.683323026180169,0.6661406298821222,98.8,0.7510712388950083,0.82987012987013,0.7853947233050858,154.0,0.26666666666666666,0.21666666666666665,0.23714285714285718,3.3,0.9937999056207897,0.9988372093023254,0.9962633104938631,171.7,0.9981617647058822,0.9992606259395928,0.9987088256111469,270.6,0.7334945804731887,0.572,0.598129593098903,49.9,0.9960000000000001,0.966794217687075,0.9807195266544421,48.2
True,True,True,1000,"(1, 2)",False,false,True,0.901325132042867,0.7985821216555846,0.7691246462638988,0.7729533819860305,0.955085489335828,0.9369900464499004,0.9452604901413627,274.7,0.6637106762158754,0.6620387548958978,0.6544706608339131,98.8,0.7376932034043019,0.8246753246753247,0.7762325500881396,154.0,0.3,0.19166666666666665,0.22000000000000003,3.3,0.992092302611663,0.9930232558139535,0.9923903597326996,171.7,0.9996323529411765,0.9937255705890392,0.9966226638132396,270.6,0.7464837650623629,0.5820000000000001,0.6177895712873371,49.9,0.9939591836734696,0.9688775510204082,0.9808607599915516,48.2
True,True,True,1000,"(1, 3)",False,false,False,0.9015110895104312,0.8201208684097795,0.7969854954869795,0.7999298536710863,0.9614335644785432,0.9246171201061711,0.9416890728093368,274.7,0.6725554556693041,0.6407750979179551,0.6462242514419254,98.8,0.7457220539310815,0.8344155844155843,0.7852934979230847,154.0,0.5166666666666666,0.39166666666666666,0.43,3.3,0.9886718782313716,0.9936046511627905,0.9909822238392214,171.7,0.9996323529411765,0.9992606259395928,0.9994454662968785,270.6,0.6823257916866223,0.6019183673469388,0.6141399117872404,49.9,0.9939591836734696,0.9896258503401361,0.9916644052710033,48.2
True,True,True,1000,"(1, 3)",True,false,False,0.901137345485458,0.7910439277455563,0.7682770598268067,0.770443786003111,0.9637269895567068,0.9351705374917054,0.9486188147853097,274.7,0.6565920540475431,0.6661100803957948,0.6510926247933887,98.8,0.7430268999487358,0.8272727272727274,0.7797099020325469,154.0,0.26666666666666666,0.21666666666666665,0.23714285714285718,3.3,0.9921458773784355,0.9930232558139535,0.9924017734964006,171.7,0.9988943355119826,0.9992606259395928,0.9990764626208503,270.6,0.7112985988543798,0.5419183673469388,0.5747883264990934,49.9,0.9960000000000001,0.966794217687075,0.9807195266544421,48.2
True,True,True,1000,"(1, 3)",False,false,True,0.9008581044358042,0.7970519772391814,0.7664243090149758,0.7705341236155565,0.9581015359196965,0.9369887193098873,0.9467748385420712,274.7,0.6561892004248376,0.6751700680272108,0.6559221354757775,98.8,0.7414886222968173,0.824025974025974,0.7777481882533867,154.0,0.3,0.19166666666666665,0.22000000000000003,3.3,0.9932658959537572,0.9930232558139535,0.9929731738427392,171.7,0.9996323529411765,0.9937255705890392,0.9966226638132396,270.6,0.733779026703696,0.55,0.5943977244708024,49.9,0.9939591836734696,0.966794217687075,0.9798342645264352,48.2
True,True,True,5000,"(1, 1)",False,false,False,0.9075806193124016,0.820216131384995,0.7966551049805971,0.7992417007512951,0.9489673934224403,0.933717319177173,0.9404720649866605,274.7,0.6979197675108303,0.6599773242630386,0.6716627322848441,98.8,0.7633846177713742,0.8441558441558442,0.7995569397008192,154.0,0.44000000000000006,0.35,0.37444444444444447,3.3,0.9858783531168663,0.9988372093023254,0.9922499374805727,171.7,0.9992633492511395,0.9992606259395928,0.9992606234133294,270.6,0.7303155700073098,0.606,0.6279393566805915,49.9,0.9960000000000001,0.9812925170068028,0.9883475070190985,48.2
