Lower Case,Remove Stop Words,Stem,Test Size,Max Features,N-gram Range,TF,IDF,TFIDF,Accuracy,Functional-Method Precision,Functional-Method Recall,Functional-Method F1-Score,Functional-Method Support,Functional-Module Precision,Functional-Module Recall,Functional-Module F1-Score,Functional-Module Support,Functional-Inline Precision,Functional-Inline Recall,Functional-Inline F1-Score,Functional-Inline Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support
True,False,False,0.25,5000,(1 1),True,False,False,95.92979835698281,0.9897209985315712,0.9587482219061166,0.9739884393063585,703,0.922077922077922,0.83203125,0.8747433264887063,256,0.8377777777777777,0.9843342036553525,0.9051620648259303,383,0.6923076923076923,0.9,0.7826086956521738,10,0.9954022988505747,0.9976958525345622,0.996547756041427,434,1.0,1.0,1.0,651,0.9484536082474226,0.773109243697479,0.8518518518518517,119
True,False,False,0.25,5000,(1 1),False,False,True,96.48991784914115,0.9866071428571429,0.9650655021834061,0.9757174392935983,687,0.874439461883408,0.8478260869565217,0.8609271523178809,230,0.88558352402746,0.9723618090452262,0.9269461077844311,398,0.6666666666666666,0.8571428571428571,0.75,7,0.9953161592505855,1.0,0.9976525821596244,425,1.0,0.9985401459854014,0.9992695398100804,685,0.9823008849557522,0.8345864661654135,0.9024390243902438,133
True,False,False,0.25,5000,(1 2),False,False,False,96.97535474234503,0.9899856938483548,0.9678321678321679,0.9787835926449788,715,0.9140625,0.9034749034749034,0.9087378640776699,259,0.885,0.9725274725274725,0.9267015706806283,364,0.25,0.3333333333333333,0.28571428571428575,3,1.0,0.9976470588235294,0.9988221436984689,425,0.9985052316890882,1.0,0.9992520568436799,668,0.981651376146789,0.84251968503937,0.9067796610169491,127
True,False,False,0.25,5000,(1 2),True,False,False,95.59372666168782,0.9848024316109423,0.9487554904831625,0.9664429530201343,683,0.8760683760683761,0.8299595141700404,0.8523908523908523,247,0.8463251670378619,0.9547738693467337,0.89728453364817,398,0.8571428571428571,0.8571428571428571,0.8571428571428571,7,0.9975845410628019,0.9975845410628019,0.9975845410628019,414,1.0,1.0,1.0,669,0.9344262295081968,0.8507462686567164,0.8906250000000001,134
True,False,False,0.25,5000,(1 2),False,False,True,96.45257654966393,0.9894419306184012,0.9576642335766423,0.973293768545994,685,0.9045643153526971,0.8549019607843137,0.879032258064516,255,0.860730593607306,0.9741602067183462,0.9139393939393939,387,0.8333333333333334,1.0,0.9090909090909091,5,0.9977324263038548,1.0,0.9988649262202043,440,1.0,1.0,1.0,647,0.9824561403508771,0.8615384615384616,0.9180327868852458,130
True,False,False,0.25,5000,(1 3),False,False,False,96.67662434652726,0.9953560371517027,0.9568452380952381,0.9757207890743551,672,0.8973214285714286,0.8854625550660793,0.8913525498891353,227,0.8708920187793427,0.978891820580475,0.9217391304347826,379,0.8,0.6666666666666666,0.7272727272727272,6,0.9933920704845814,1.0,0.9966850828729282,451,1.0,0.9985401459854014,0.9992695398100804,685,0.9622641509433962,0.816,0.8831168831168831,125
True,False,False,0.25,5000,(1 3),True,False,False,96.04182225541449,0.9825119236883942,0.9464012251148545,0.9641185647425896,653,0.8773584905660378,0.8230088495575221,0.8493150684931506,226,0.8680089485458613,0.97,0.9161747343565525,400,0.6666666666666666,0.6,0.631578947368421,10,0.9953810623556582,0.9976851851851852,0.9965317919075144,432,1.0,1.0,1.0,714,0.9572649572649573,0.896,0.9256198347107438,125
True,False,False,0.25,5000,(1 3),False,False,True,96.04182225541449,0.9897360703812317,0.9520451339915373,0.9705248023005031,709,0.8844621513944223,0.8604651162790697,0.8722986247544204,258,0.8552036199095022,0.9717223650385605,0.9097472924187725,389,0.875,0.7,0.7777777777777777,10,1.0,1.0,1.0,409,0.9984544049459042,1.0,0.9992266047950503,646,0.9603960396039604,0.8151260504201681,0.8818181818181818,119
True,False,False,0.3,1000,(1 1),False,False,False,96.63928304705004,0.9912663755458515,0.9632248939179632,0.9770444763271161,707,0.9041095890410958,0.8646288209606987,0.8839285714285714,229,0.8716216216216216,0.9822335025380711,0.9236276849642006,394,0.6,0.5,0.5454545454545454,6,0.9953051643192489,0.9976470588235294,0.9964747356051704,425,1.0,1.0,1.0,659,0.9833333333333333,0.8489208633093526,0.9111969111969112,139
True,False,False,0.3,1000,(1 1),True,False,False,96.7513069454817,0.9938461538461538,0.96274217585693,0.9780469341408025,671,0.9012345679012346,0.8902439024390244,0.8957055214723927,246,0.8677884615384616,0.9704301075268817,0.916243654822335,372,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,0.9977064220183486,1.0,0.9988518943742823,435,1.0,0.9986033519553073,0.9993011879804332,716,0.99,0.825,0.9,120
True,False,False,0.3,1000,(1 1),False,False,True,96.00448095593727,0.9911764705882353,0.9533239038189534,0.9718817591925019,707,0.8789237668161435,0.8596491228070176,0.869179600886918,228,0.8544303797468354,0.9759036144578314,0.9111361079865017,415,0.6,0.375,0.4615384615384615,8,1.0,1.0,1.0,417,1.0,0.9985507246376811,0.9992748368382885,690,0.9647058823529412,0.7663551401869159,0.8541666666666666,107
True,False,False,0.3,1000,(1 2),False,False,False,96.11650485436894,0.9922600619195047,0.946824224519941,0.9690098261526833,677,0.8938053097345132,0.8669527896995708,0.8801742919389978,233,0.8429561200923787,0.9681697612732095,0.9012345679012347,377,1.0,0.42857142857142855,0.6,7,0.9935344827586207,1.0,0.9967567567567568,461,1.0,1.0,1.0,670,0.9652173913043478,0.8409090909090909,0.8987854251012145,132
True,False,False,0.3,1000,(1 2),True,False,False,96.15384615384616,0.9846625766871165,0.9469026548672567,0.9654135338345864,678,0.8940677966101694,0.83399209486166,0.8629856850715746,253,0.8561643835616438,0.97911227154047,0.9135200974421437,383,0.875,0.875,0.875,8,0.9954233409610984,0.9977064220183486,0.9965635738831615,436,1.0,1.0,1.0,682,0.9803921568627451,0.8695652173913043,0.9216589861751152,115
True,False,False,0.3,1000,(1 2),False,False,True,96.15384615384616,0.9856115107913669,0.9716312056737588,0.9785714285714285,705,0.8810572687224669,0.851063829787234,0.8658008658008658,235,0.8587443946188341,0.964735516372796,0.9086595492289443,397,0.6666666666666666,0.8,0.7272727272727272,5,1.0,1.0,1.0,418,1.0,1.0,1.0,667,0.9896907216494846,0.7559055118110236,0.8571428571428571,127
True,False,False,0.3,1000,(1 3),False,False,False,96.2285287528006,0.9924242424242424,0.9604105571847508,0.9761549925484352,682,0.9012875536480687,0.8641975308641975,0.8823529411764707,243,0.8527472527472527,0.9822784810126582,0.9129411764705883,395,0.8181818181818182,0.9,0.8571428571428572,10,0.9975786924939467,1.0,0.9987878787878788,412,1.0,1.0,1.0,691,0.9714285714285714,0.7611940298507462,0.8535564853556487,134
