Lower Case,Remove Stop Words,Stem,Test Size,Max Features,N-gram Range,TF,IDF,TFIDF,Accuracy,Functional Precision,Functional Recall,Functional F1-Score,Functional Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support
True,False,False,0.25,1000,(1 1),False,False,False,97.7968633308439,0.9645550527903469,0.9907048799380326,0.9774551012609859,1291,1.0,0.5454545454545454,0.7058823529411764,11,0.9976798143851509,0.9976798143851509,0.9976798143851509,431,1.0,0.9985775248933144,0.9992882562277581,703,0.8952380952380953,0.7014925373134329,0.7866108786610879,134
True,False,False,0.25,1000,(1 1),True,False,False,98.31964152352501,0.9746646795827124,0.992412746585736,0.9834586466165415,1318,0.8,0.5714285714285714,0.6666666666666666,7,0.9953703703703703,0.9976798143851509,0.996523754345307,431,1.0,0.9985486211901307,0.9992737835875091,689,0.9223300970873787,0.7661290322580645,0.8370044052863437,124
True,False,False,0.25,1000,(1 1),False,False,True,97.83420463032112,0.96274217585693,0.9953775038520801,0.9787878787878788,1298,0.8,0.5714285714285714,0.6666666666666666,7,1.0,1.0,1.0,438,1.0,0.9971223021582734,0.9985590778097982,695,0.9230769230769231,0.6461538461538462,0.7601809954751132,130
True,False,False,0.25,1000,(1 2),False,False,False,98.24495892457058,0.9705438066465257,0.9953524399690162,0.9827915869980879,1291,0.8,0.8,0.8000000000000002,5,0.9976190476190476,1.0,0.99880810488677,419,1.0,0.9985652797704447,0.9992821249102656,697,0.9439252336448598,0.7214285714285714,0.8178137651821863,140
True,False,False,0.25,1000,(1 2),True,False,False,97.4234503360717,0.9582401193139448,0.9922779922779923,0.9749620637329286,1295,0.5,0.375,0.42857142857142855,8,0.9977678571428571,0.9977678571428571,0.9977678571428571,448,1.0,1.0,1.0,670,0.9021739130434783,0.6148148148148148,0.7312775330396475,135
True,False,False,0.25,1000,(1 2),False,False,True,97.90888722927558,0.9690424766018718,0.9933579335793358,0.9810495626822158,1355,0.625,0.5,0.5555555555555556,10,0.9908256880733946,0.9976905311778291,0.994246260069045,433,1.0,1.0,1.0,656,0.927710843373494,0.652542372881356,0.7661691542288558,118
True,False,False,0.25,1000,(1 3),False,False,False,97.68483943241225,0.9631811487481591,0.9916603487490523,0.9772132984684347,1319,0.6666666666666666,0.3333333333333333,0.4444444444444444,6,0.9954128440366973,0.9977011494252873,0.9965556831228473,435,1.0,0.9985250737463127,0.9992619926199262,678,0.8953488372093024,0.6311475409836066,0.7403846153846154,122
True,False,False,0.25,1000,(1 3),True,False,False,97.90888722927558,0.96875,0.9901140684410646,0.9793155321549455,1315,1.0,0.46153846153846156,0.631578947368421,13,0.9953271028037384,1.0,0.9976580796252927,426,1.0,1.0,1.0,673,0.8811881188118812,0.712,0.7876106194690266,125
True,False,False,0.25,1000,(1 3),False,False,True,98.13293502613891,0.9733924611973392,0.9902255639097745,0.9817368617219531,1330,0.8,0.6666666666666666,0.7272727272727272,6,0.9976798143851509,1.0,0.9988385598141696,430,1.0,0.9985443959243085,0.9992716678805535,687,0.8681318681318682,0.7053571428571429,0.7783251231527095,112
True,False,False,0.25,5000,(1 1),False,False,False,97.64749813293503,0.9693877551020408,0.9903201787043932,0.9797421731123389,1343,0.4444444444444444,0.36363636363636365,0.39999999999999997,11,1.0,1.0,1.0,411,1.0,0.997037037037037,0.9985163204747775,675,0.8585858585858586,0.6746031746031746,0.7555555555555555,126
True,False,False,0.25,5000,(1 1),True,False,False,97.98356982823002,0.9704610951008645,0.9926308032424466,0.9814207650273223,1357,0.8571428571428571,0.6,0.7058823529411764,10,0.9924433249370277,1.0,0.9962073324905183,394,1.0,0.9984962406015038,0.9992475545522949,665,0.9108910891089109,0.7076923076923077,0.7965367965367967,130
True,False,False,0.25,5000,(1 1),False,False,True,97.90888722927558,0.9677902621722847,0.9923195084485407,0.9799014031095942,1302,0.8,0.7272727272727273,0.761904761904762,11,1.0,0.9976635514018691,0.9988304093567251,428,1.0,1.0,1.0,691,0.8842105263157894,0.6666666666666666,0.7601809954751131,126
True,False,False,0.25,5000,(1 2),False,False,False,97.90888722927558,0.9659420289855073,0.9955190440627334,0.9805075395365944,1339,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,1.0,0.9975308641975309,0.9987639060568604,405,1.0,0.9985052316890882,0.9992520568436799,669,0.9186046511627907,0.632,0.7488151658767772,125
True,False,False,0.25,5000,(1 2),True,False,False,97.90888722927558,0.9653353428786737,0.9930232558139535,0.9789835689721056,1290,1.0,0.75,0.8571428571428571,8,0.9931350114416476,0.9977011494252873,0.9954128440366972,435,1.0,1.0,1.0,703,0.9204545454545454,0.648,0.7605633802816901,125
True,False,False,0.25,5000,(1 2),False,False,True,98.02091112770725,0.9692883895131086,0.9923312883435583,0.9806744979158771,1304,1.0,0.6666666666666666,0.8,9,0.990521327014218,0.9976133651551312,0.9940546967895362,419,1.0,1.0,1.0,697,0.9148936170212766,0.6935483870967742,0.7889908256880733,124
True,False,False,0.25,5000,(1 3),False,False,False,98.02091112770725,0.9656488549618321,0.9944968553459119,0.9798605731990704,1272,0.8333333333333334,0.7142857142857143,0.7692307692307692,7,0.9956043956043956,1.0,0.9977973568281938,453,1.0,1.0,1.0,674,0.9514563106796117,0.7,0.8065843621399177,140
True,False,False,0.25,5000,(1 3),True,False,False,97.7595220313667,0.9655677655677656,0.9932177844762623,0.9791976225854384,1327,0.5,0.4,0.4444444444444445,5,0.9931972789115646,1.0,0.9965870307167235,438,1.0,0.9984779299847792,0.9992383853769992,657,0.9130434782608695,0.6461538461538462,0.7567567567567568,130
True,False,False,0.25,5000,(1 3),False,False,True,98.17027632561613,0.972809667673716,0.9907692307692307,0.9817073170731707,1300,1.0,0.6,0.7499999999999999,10,0.9977728285077951,0.9977728285077951,0.9977728285077951,449,1.0,1.0,1.0,695,0.8651685393258427,0.7064220183486238,0.7777777777777778,109
True,False,False,0.3,1000,(1 1),False,False,False,97.7595220313667,0.9637037037037037,0.9931297709923664,0.9781954887218046,1310,0.6666666666666666,0.5714285714285714,0.6153846153846153,7,0.9953161592505855,1.0,0.9976525821596244,425,1.0,1.0,1.0,675,0.9230769230769231,0.6461538461538462,0.7601809954751132,130
True,False,False,0.3,1000,(1 1),True,False,False,98.05825242718447,0.9706723891273248,0.9934114202049781,0.9819102749638206,1366,0.6666666666666666,0.3333333333333333,0.4444444444444444,6,1.0,1.0,1.0,423,1.0,0.9984756097560976,0.9992372234935164,656,0.8837209302325582,0.672566371681416,0.7638190954773871,113
True,False,False,0.3,1000,(1 1),False,False,True,97.38610903659448,0.9563609467455622,0.9938508839354343,0.9747455710516397,1301,0.6666666666666666,0.5,0.5714285714285715,8,0.9975786924939467,0.9975786924939467,0.9975786924939467,413,1.0,1.0,1.0,679,0.9223300970873787,0.6291390728476821,0.7480314960629921,151
True,False,False,0.3,1000,(1 2),False,False,False,98.17027632561613,0.9724837074583635,0.9926090169992609,0.9824433065106072,1353,0.6,0.5,0.5454545454545454,6,0.997624703087886,0.997624703087886,0.997624703087886,421,1.0,1.0,1.0,645,0.9183673469387755,0.7258064516129032,0.8108108108108109,124
True,False,False,0.3,1000,(1 2),True,False,False,97.87154592979836,0.9669360764144012,0.9917106254709872,0.9791666666666666,1327,0.6,0.5,0.5454545454545454,6,0.9955056179775281,1.0,0.9977477477477478,443,1.0,1.0,1.0,657,0.9215686274509803,0.6911764705882353,0.7899159663865546,136
True,False,False,0.3,1000,(1 2),False,False,True,97.53547423450335,0.962043795620438,0.9909774436090225,0.9762962962962963,1330,0.8571428571428571,0.5,0.631578947368421,12,0.9952380952380953,1.0,0.9976133651551313,418,1.0,1.0,1.0,666,0.8804347826086957,0.6328125,0.7363636363636362,128
True,False,False,0.3,1000,(1 3),False,False,False,97.7968633308439,0.966984592809978,0.9909774436090225,0.9788340141106572,1330,0.6666666666666666,0.2222222222222222,0.3333333333333333,9,0.9932584269662922,1.0,0.9966178128523112,442,1.0,0.9969558599695586,0.9984756097560976,657,0.9029126213592233,0.7099236641221374,0.7948717948717948,131
True,False,False,0.3,1000,(1 3),True,False,False,97.90888722927558,0.9668141592920354,0.9939347990902199,0.9801869158878505,1319,0.5,0.375,0.42857142857142855,8,0.9953703703703703,0.9953703703703703,0.9953703703703703,432,1.0,1.0,1.0,670,0.9405940594059405,0.7037037037037037,0.8050847457627119,135
True,False,False,0.3,1000,(1 3),False,False,True,97.7968633308439,0.9667389732465654,0.9925760950259837,0.9794871794871794,1347,0.6,0.5,0.5454545454545454,6,0.9930232558139535,1.0,0.9964994165694282,427,1.0,1.0,1.0,666,0.9047619047619048,0.628099173553719,0.7414634146341463,121
True,False,False,0.3,5000,(1 1),False,False,False,98.20761762509336,0.9698307579102281,0.9969742813918305,0.9832152182021633,1322,0.6,0.3333333333333333,0.42857142857142855,9,0.995249406175772,1.0,0.9976190476190476,419,1.0,0.9985422740524781,0.99927060539752,686,0.967391304347826,0.7063492063492064,0.8165137614678899,126
True,False,False,0.3,5000,(1 1),True,False,False,97.68483943241225,0.9674735249621785,0.989938080495356,0.9785768936495792,1292,0.8333333333333334,0.38461538461538464,0.5263157894736842,13,0.9932126696832579,1.0,0.996594778660613,439,1.0,1.0,1.0,684,0.8645833333333334,0.6693548387096774,0.7545454545454545,124
True,False,False,0.3,5000,(1 1),False,False,True,97.68483943241225,0.9657228017883756,0.9893129770992366,0.9773755656108597,1310,0.8333333333333334,0.45454545454545453,0.5882352941176471,11,0.9935622317596566,0.9978448275862069,0.9956989247311827,464,1.0,0.9984756097560976,0.9992372234935164,656,0.8636363636363636,0.6551724137931034,0.7450980392156864,116
True,False,False,0.3,5000,(1 2),False,False,False,98.17027632561613,0.97544128933231,0.9891050583657588,0.982225656877898,1285,0.5,0.4,0.4444444444444445,5,0.9977064220183486,1.0,0.9988518943742823,435,1.0,1.0,1.0,698,0.8585858585858586,0.7264957264957265,0.7870370370370369,117
True,False,False,0.3,5000,(1 2),True,False,False,97.90888722927558,0.9663425579655947,0.9938461538461538,0.9799014031095943,1300,0.625,0.45454545454545453,0.5263157894736842,11,0.9977528089887641,0.9977528089887641,0.9977528089887641,445,1.0,0.9970414201183432,0.9985185185185186,676,0.9195402298850575,0.6722689075630253,0.7766990291262137,119
True,False,False,0.3,5000,(1 2),False,False,True,97.7968633308439,0.964635063957863,0.9945694336695112,0.9793735676088617,1289,0.6,0.25,0.35294117647058826,12,0.9975728155339806,1.0,0.9987849331713243,411,1.0,0.9972489683631361,0.9986225895316804,727,0.8888888888888888,0.6371681415929203,0.7422680412371133,113
True,False,False,0.3,5000,(1 3),False,False,False,98.13293502613891,0.9716417910447761,0.9923780487804879,0.9819004524886877,1312,1.0,0.5,0.6666666666666666,8,0.9927884615384616,0.9975845410628019,0.9951807228915662,414,1.0,1.0,1.0,699,0.9158878504672897,0.7368421052631579,0.8166666666666665,133
True,False,False,0.3,5000,(1 3),True,False,False,97.46079163554892,0.96,0.9926144756277696,0.9760348583877995,1354,0.75,0.5454545454545454,0.631578947368421,11,0.9906976744186047,0.9976580796252927,0.9941656942823803,427,1.0,0.9984756097560976,0.9992372234935164,656,0.9294117647058824,0.6124031007751938,0.7383177570093458,129
True,False,False,0.3,5000,(1 3),False,False,True,97.4234503360717,0.9631467044649185,0.9890829694323144,0.9759425493716337,1374,0.6,0.3333333333333333,0.42857142857142855,9,0.9975308641975309,0.9950738916256158,0.9963008631319359,406,1.0,0.9984520123839009,0.9992254066615027,646,0.8585858585858586,0.6589147286821705,0.7456140350877193,129
True,False,False,0.35,1000,(1 1),False,False,False,98.13293502613891,0.9720630372492837,0.9941391941391942,0.9829771821803694,1365,0.6666666666666666,0.8,0.7272727272727272,5,0.9955555555555555,1.0,0.9977728285077951,448,1.0,1.0,1.0,644,0.9066666666666666,0.6238532110091743,0.7391304347826086,109
True,False,False,0.35,1000,(1 1),True,False,False,97.64749813293503,0.9612573099415205,0.9947049924357034,0.9776951672862454,1322,0.7142857142857143,0.5555555555555556,0.6250000000000001,9,0.9953161592505855,0.9953161592505855,0.9953161592505855,427,1.0,0.9970238095238095,0.9985096870342772,672,0.9285714285714286,0.6190476190476191,0.742857142857143,126
True,False,False,0.35,1000,(1 1),False,False,True,98.31964152352501,0.9724497393894267,0.9939117199391172,0.9830636055701919,1314,1.0,0.875,0.9333333333333333,8,0.9978070175438597,1.0,0.9989023051591658,455,1.0,0.9985074626865672,0.9992531740104555,670,0.9239130434782609,0.7083333333333334,0.8018867924528301,120
True,False,False,0.35,1000,(1 2),False,False,False,97.53547423450335,0.9615674453654861,0.9922239502332815,0.9766551856104095,1286,0.5,0.8,0.6153846153846154,5,0.9954648526077098,0.9977272727272727,0.996594778660613,440,1.0,1.0,1.0,682,0.9,0.6,0.7200000000000001,135
True,False,False,0.35,1000,(1 2),True,False,False,97.87154592979836,0.96875,0.9916222391469917,0.9800526910048928,1313,0.75,0.6666666666666666,0.7058823529411765,9,0.9906759906759907,1.0,0.9953161592505855,425,1.0,0.9985315712187959,0.9992652461425422,681,0.898876404494382,0.6557377049180327,0.7582938388625593,122
True,False,False,0.35,1000,(1 2),False,False,True,97.64749813293503,0.9654178674351584,0.9911242603550295,0.9781021897810218,1352,0.5,0.6,0.5454545454545454,5,0.9975369458128078,0.9975369458128078,0.9975369458128078,406,1.0,0.9985029940119761,0.9992509363295881,668,0.8764044943820225,0.6341463414634146,0.7358490566037736,123
True,False,False,0.35,1000,(1 3),False,False,False,97.53547423450335,0.9624005784526392,0.9903273809523809,0.976164283094976,1344,1.0,0.6666666666666666,0.8,6,0.9876237623762376,1.0,0.9937733499377335,399,1.0,0.9985185185185185,0.9992587101556708,675,0.9032258064516129,0.631578947368421,0.7433628318584071,133
True,False,False,0.35,1000,(1 3),True,False,False,97.87154592979836,0.9689578713968958,0.9901812688821753,0.9794546133731791,1324,0.75,0.6,0.6666666666666665,5,0.9953379953379954,1.0,0.9976635514018692,427,1.0,0.9985652797704447,0.9992821249102656,697,0.8571428571428571,0.6428571428571429,0.7346938775510204,112
True,False,False,0.35,1000,(1 3),False,False,True,97.7595220313667,0.9690949227373068,0.9902255639097745,0.9795462997396802,1330,0.7777777777777778,0.5,0.6086956521739131,14,0.9950980392156863,0.9975429975429976,0.9963190184049079,407,1.0,0.9971428571428571,0.9985693848354792,700,0.8372093023255814,0.6605504587155964,0.7384615384615384,109
True,False,False,0.35,5000,(1 1),False,False,False,98.39432412247946,0.9775617053103964,0.9924069855732726,0.9849284099472494,1317,0.7777777777777778,0.5384615384615384,0.6363636363636364,13,0.9975369458128078,1.0,0.9987669543773119,405,1.0,0.9985835694050992,0.9992912827781716,706,0.9029126213592233,0.7815126050420168,0.8378378378378379,119
True,False,False,0.35,5000,(1 1),True,False,False,97.83420463032112,0.9660649819494584,0.9940564635958395,0.9798608568290004,1346,1.0,0.375,0.5454545454545454,8,1.0,1.0,1.0,434,1.0,0.9984177215189873,0.9992082343626286,632,0.897196261682243,0.6857142857142857,0.7773279352226722,140
True,False,False,0.35,5000,(1 1),False,False,True,97.72218073188948,0.9639097744360903,0.9930286599535244,0.9782525753529188,1291,0.5,0.3333333333333333,0.4,9,1.0,0.9978021978021978,0.9988998899889989,455,1.0,1.0,1.0,655,0.9145299145299145,0.7039473684210527,0.7955390334572492,152
True,False,False,0.35,5000,(1 2),False,False,False,97.90888722927558,0.9688195991091314,0.9916413373860182,0.9800976342470897,1316,0.7142857142857143,0.625,0.6666666666666666,8,0.9953596287703016,1.0,0.9976744186046511,429,1.0,1.0,1.0,681,0.8924731182795699,0.6693548387096774,0.7649769585253455,124
