Lower Case,Remove Stop Words,Stem,Test Size,Max Features,N-gram Range,TF,IDF,TFIDF,Accuracy,Functional Precision,Functional Recall,Functional F1-Score,Functional Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support
True,False,False,0.25,1000,(1 1),False,False,False,97.23674383868558,0.9669992325402916,0.980544747081712,0.9737248840803711,1285,0.45454545454545453,0.7142857142857143,0.5555555555555556,7,0.9930394431554525,1.0,0.9965075669383004,428,1.0,0.9985652797704447,0.9992821249102656,697,0.8070175438596491,0.6715328467153284,0.7330677290836652,137
True,False,False,0.25,1000,(1 1),True,False,False,97.31142643764002,0.9645817633760362,0.9861325115562404,0.9752380952380953,1298,0.625,0.5555555555555556,0.5882352941176471,9,0.9907621247113164,1.0,0.9953596287703016,429,0.9985632183908046,1.0,0.9992810927390366,695,0.8229166666666666,0.6220472440944882,0.7085201793721972,127
True,False,False,0.25,1000,(1 1),False,False,True,97.7595220313667,0.9737827715355806,0.9811320754716981,0.9774436090225566,1325,1.0,0.7777777777777778,0.8750000000000001,9,0.9905882352941177,1.0,0.9952718676122931,421,1.0,1.0,1.0,681,0.8090909090909091,0.7355371900826446,0.7705627705627704,121
True,False,False,0.25,1000,(1 2),False,False,False,97.64749813293503,0.9757575757575757,0.9787234042553191,0.9772382397572079,1316,0.5,0.5714285714285714,0.5333333333333333,7,0.9930715935334873,1.0,0.996523754345307,430,1.0,0.9985119047619048,0.9992553983618765,672,0.7948717948717948,0.7560975609756098,0.7749999999999999,123
True,False,False,0.25,1000,(1 2),True,False,False,97.61015683345781,0.9686783804430863,0.9860031104199067,0.9772639691714836,1286,0.5384615384615384,0.7,0.608695652173913,10,0.9977827050997783,0.995575221238938,0.9966777408637872,452,1.0,1.0,1.0,680,0.8623853211009175,0.7014925373134329,0.7736625514403291,134
True,False,False,0.25,1000,(1 2),False,False,True,97.46079163554892,0.9740356083086054,0.9791200596569725,0.9765712160654519,1341,0.5,0.8571428571428571,0.631578947368421,7,0.9955947136563876,1.0,0.9977924944812362,452,1.0,1.0,1.0,630,0.7706422018348624,0.6885245901639344,0.7272727272727273,122
True,False,False,0.25,1000,(1 3),False,False,False,97.61015683345781,0.9720998531571219,0.9836552748885586,0.9778434268833086,1346,0.7,0.7777777777777778,0.7368421052631577,9,0.9901719901719902,1.0,0.9950617283950617,403,0.9984848484848485,1.0,0.9992418498862775,659,0.8252427184466019,0.6854838709677419,0.7488986784140969,124
True,False,False,0.25,1000,(1 3),True,False,False,97.34876773711724,0.9690036900369003,0.9827844311377245,0.9758454106280192,1336,0.3333333333333333,0.6666666666666666,0.4444444444444444,6,0.9976798143851509,0.9976798143851509,0.9976798143851509,431,1.0,1.0,1.0,650,0.8058252427184466,0.6587301587301587,0.7248908296943231,126
True,False,False,0.25,1000,(1 3),False,False,True,97.98356982823002,0.9765051395007343,0.9859154929577465,0.9811877535964589,1349,0.5,0.7142857142857143,0.588235294117647,7,0.9951456310679612,1.0,0.9975669099756691,410,1.0,1.0,1.0,674,0.8611111111111112,0.744,0.7982832618025751,125
True,False,False,0.25,5000,(1 1),False,False,False,97.19940253920836,0.9637681159420289,0.9837278106508875,0.973645680819912,1352,0.8571428571428571,0.75,0.7999999999999999,8,0.9928400954653938,1.0,0.9964071856287425,416,1.0,0.9984732824427481,0.9992360580595876,655,0.7857142857142857,0.6111111111111112,0.6875000000000001,126
True,False,False,0.25,5000,(1 1),True,False,False,97.49813293502613,0.9746646795827124,0.9790419161676647,0.9768483943241225,1336,0.4,0.8,0.5333333333333333,5,0.9953379953379954,1.0,0.9976635514018692,427,0.9985294117647059,1.0,0.9992641648270787,679,0.7623762376237624,0.6814159292035398,0.719626168224299,113
True,False,False,0.25,5000,(1 1),False,False,True,97.27408513816282,0.9764532744665195,0.975735294117647,0.976094152261861,1360,0.35714285714285715,0.7142857142857143,0.4761904761904762,7,0.9930555555555556,1.0,0.9965156794425087,429,1.0,1.0,1.0,665,0.71,0.6698113207547169,0.6893203883495145,106
True,False,False,0.25,5000,(1 2),False,False,False,97.23674383868558,0.9752994011976048,0.9738415545590433,0.9745699326851159,1338,0.3333333333333333,0.42857142857142855,0.375,7,0.9910714285714286,1.0,0.9955156950672646,444,1.0,1.0,1.0,668,0.71,0.6761904761904762,0.6926829268292682,105
True,False,False,0.25,5000,(1 2),True,False,False,97.01269604182225,0.9621212121212122,0.9799382716049383,0.9709480122324159,1296,0.6,0.9,0.7200000000000001,10,0.9976133651551312,0.9976133651551312,0.9976133651551312,419,1.0,0.9985754985754985,0.9992872416250891,702,0.7850467289719626,0.631578947368421,0.7000000000000001,133
True,False,False,0.25,5000,(1 2),False,False,True,97.68483943241225,0.969811320754717,0.9846743295019157,0.9771863117870724,1305,0.7777777777777778,0.6363636363636364,0.7000000000000001,11,0.9976190476190476,0.9976190476190476,0.9976190476190476,420,1.0,1.0,1.0,695,0.8303571428571429,0.7153846153846154,0.768595041322314,130
True,False,False,0.25,5000,(1 3),False,False,False,97.7595220313667,0.9717341482047365,0.9845201238390093,0.9780853517877741,1292,0.5714285714285714,0.5714285714285714,0.5714285714285714,7,0.9954128440366973,1.0,0.9977011494252873,434,1.0,1.0,1.0,704,0.8235294117647058,0.7,0.7567567567567567,120
True,False,False,0.25,5000,(1 3),True,False,False,97.83420463032112,0.9706546275395034,0.9869931140015302,0.9787556904400607,1307,1.0,0.75,0.8571428571428571,8,0.991130820399113,0.9955456570155902,0.9933333333333333,449,0.9985486211901307,1.0,0.9992737835875091,688,0.86,0.7107438016528925,0.7782805429864253,121
True,False,False,0.25,5000,(1 3),False,False,True,97.61015683345781,0.9736644093303235,0.9817905918057663,0.977710615791462,1318,0.6875,0.7857142857142857,0.7333333333333334,14,0.9876847290640394,0.9975124378109452,0.9925742574257426,402,1.0,0.9985611510791367,0.9992800575953923,695,0.8288288288288288,0.7244094488188977,0.773109243697479,127
True,False,False,0.3,1000,(1 1),False,False,False,97.7595220313667,0.9706103993971364,0.9869731800766284,0.9787234042553192,1305,0.3333333333333333,0.16666666666666666,0.2222222222222222,6,0.9953703703703703,1.0,0.9976798143851509,430,1.0,1.0,1.0,667,0.864406779661017,0.7338129496402878,0.7937743190661479,139
True,False,False,0.3,1000,(1 1),True,False,False,97.7968633308439,0.9760696156635243,0.9831994156318481,0.9796215429403202,1369,0.7777777777777778,0.875,0.823529411764706,8,0.9951100244498777,0.9975490196078431,0.996328029375765,408,1.0,1.0,1.0,657,0.7843137254901961,0.7079646017699115,0.7441860465116279,113
True,False,False,0.3,1000,(1 1),False,False,True,97.31142643764002,0.9707426856714179,0.9773413897280967,0.9740308618742943,1324,0.3333333333333333,0.3333333333333333,0.3333333333333333,6,0.9954022988505747,1.0,0.9976958525345622,433,1.0,1.0,1.0,680,0.7522935779816514,0.6949152542372882,0.7224669603524229,118
