Lower Case,Remove Stop Words,Stem,Test Size,Max Features,N-gram Range,TF,IDF,TFIDF,Accuracy,Functional-Method Precision,Functional-Method Recall,Functional-Method F1-Score,Functional-Method Support,Functional-Module Precision,Functional-Module Recall,Functional-Module F1-Score,Functional-Module Support,Functional-Inline Precision,Functional-Inline Recall,Functional-Inline F1-Score,Functional-Inline Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support
True,False,False,0.25,5000,(1 2),False,False,True,93.87602688573563,0.9583333333333334,0.9374090247452693,0.9477557027225902,687,0.8477366255144033,0.824,0.8356997971602435,250,0.8321513002364066,0.9166666666666666,0.872366790582404,384,0.625,0.625,0.625,8,0.9881235154394299,0.9976019184652278,0.9928400954653938,417,0.9985163204747775,0.9985163204747775,0.9985163204747775,674,0.8392857142857143,0.7014925373134329,0.7642276422764228,134
True,False,False,0.25,5000,(1 3),False,False,False,94.58551157580284,0.9700598802395209,0.9759036144578314,0.972972972972973,664,0.8429752066115702,0.7906976744186046,0.816,258,0.8465227817745803,0.9074550128534704,0.8759305210918114,389,0.6,0.6,0.6,10,0.9931818181818182,1.0,0.9965792474344356,437,1.0,1.0,1.0,663,0.8558558558558559,0.7307692307692307,0.7883817427385893,130
True,False,False,0.25,5000,(1 3),True,False,False,93.61463778939508,0.9617083946980854,0.939568345323741,0.950509461426492,695,0.8153153153153153,0.7801724137931034,0.7973568281938326,232,0.8220551378446115,0.9111111111111111,0.8642951251646903,360,0.875,0.5833333333333334,0.7000000000000001,12,0.9956140350877193,0.9978021978021978,0.9967069154774972,455,1.0,0.9985611510791367,0.9992800575953923,695,0.7222222222222222,0.6724137931034483,0.6964285714285714,116
True,False,False,0.25,5000,(1 3),False,False,True,93.5026138909634,0.9452247191011236,0.9641833810888252,0.9546099290780141,698,0.828125,0.7571428571428571,0.7910447761194029,280,0.835820895522388,0.9105691056910569,0.8715953307392997,369,0.4166666666666667,0.7142857142857143,0.5263157894736842,7,0.9926650366748166,0.9975429975429976,0.9950980392156863,407,1.0,0.9985141158989599,0.9992565055762082,673,0.8333333333333334,0.625,0.7142857142857143,112
True,False,False,0.3,1000,(1 1),False,False,False,93.24122479462285,0.9462989840348331,0.9449275362318841,0.9456127628716461,690,0.8516949152542372,0.78515625,0.8170731707317073,256,0.8293838862559242,0.9043927648578811,0.865265760197775,387,0.6153846153846154,1.0,0.761904761904762,8,0.990521327014218,0.9976133651551312,0.9940546967895362,419,0.9985315712187959,0.9985315712187959,0.9985315712187959,681,0.75,0.6377952755905512,0.6893617021276596,127
True,False,False,0.3,1000,(1 1),True,False,False,93.95070948469007,0.9626972740315638,0.9668587896253602,0.9647735442127965,694,0.8571428571428571,0.7529411764705882,0.801670146137787,255,0.8168316831683168,0.9116022099447514,0.8616187989556136,362,0.5,0.875,0.6363636363636364,8,0.9886104783599089,1.0,0.9942726231386024,434,0.9971056439942113,1.0,0.9985507246376812,689,0.8260869565217391,0.6440677966101694,0.7238095238095238,118
True,False,False,0.3,1000,(1 1),False,False,True,92.83047050037341,0.9640179910044977,0.9318840579710145,0.9476787030213707,690,0.7862903225806451,0.7558139534883721,0.7707509881422926,258,0.8014888337468983,0.8972222222222223,0.8466579292267365,360,0.4,0.8,0.5333333333333333,5,0.9931818181818182,1.0,0.9965792474344356,437,0.9970193740685543,1.0,0.9985074626865672,669,0.7946428571428571,0.6793893129770993,0.7325102880658436,131
True,False,False,0.3,1000,(1 2),False,False,False,93.91336818521285,0.947075208913649,0.9497206703910615,0.9483960948396095,716,0.8390243902439024,0.7381974248927039,0.7853881278538811,233,0.8387096774193549,0.9135135135135135,0.8745148771021992,370,0.5,1.0,0.6666666666666666,6,0.9904076738609112,0.9951807228915662,0.9927884615384616,415,1.0,1.0,1.0,705,0.8504672897196262,0.7398373983739838,0.7913043478260869,123
True,False,False,0.3,1000,(1 2),True,False,False,93.87602688573563,0.9679218967921897,0.9546079779917469,0.9612188365650969,727,0.8482142857142857,0.7786885245901639,0.811965811965812,244,0.8052256532066508,0.9313186813186813,0.8636942675159236,364,0.5,0.5,0.5,8,0.9888392857142857,1.0,0.9943883277216611,443,1.0,1.0,1.0,636,0.8571428571428571,0.6521739130434783,0.7407407407407407,138
True,False,False,0.3,1000,(1 2),False,False,True,93.1292008961912,0.9692780337941628,0.9306784660766961,0.9495861550037622,678,0.8111587982832618,0.7620967741935484,0.7858627858627859,248,0.8108695652173913,0.9209876543209876,0.8624277456647399,405,0.6666666666666666,0.5714285714285714,0.6153846153846153,7,0.9888143176733781,0.9977426636568849,0.9932584269662922,443,0.9984756097560976,1.0,0.9992372234935164,655,0.7714285714285715,0.6639344262295082,0.7136563876651981,122
