Lower Case,Remove Stop Words,Stem,Max Features,N-gram Range,TF,TFIDF,Accuracy,Functional Precision,Functional Recall,Functional F1-Score,Functional Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support,ToDo Precision,ToDo Recall,ToDo F1-Score,ToDo Support
TRUE,FALSE,TRUE,5000,(1-3),FALSE,FALSE,91.44876981,0.981565936,0.881940662,0.929065893,527.5,0.21267871,0.633333333,0.310214031,3.3,0.953524701,0.99816699,0.975264225,171.7,1,0.949232007,0.973917085,270.6,0.600745914,0.780610684,0.677478958,49.9,0.526518253,0.93177415,0.671459869,48.2
TRUE,FALSE,TRUE,5000,(1-3),TRUE,TRUE,91.44876981,0.981565936,0.881940662,0.929065893,527.5,0.21267871,0.633333333,0.310214031,3.3,0.953524701,0.99816699,0.975264225,171.7,1,0.949232007,0.973917085,270.6,0.600745914,0.780610684,0.677478958,49.9,0.526518253,0.93177415,0.671459869,48.2
TRUE,FALSE,TRUE,5000,(1-3),FALSE,TRUE,91.44876981,0.981565936,0.881940662,0.929065893,527.5,0.21267871,0.633333333,0.310214031,3.3,0.953524701,0.99816699,0.975264225,171.7,1,0.949232007,0.973917085,270.6,0.600745914,0.780610684,0.677478958,49.9,0.526518253,0.93177415,0.671459869,48.2
TRUE,FALSE,TRUE,5000,(1-3),TRUE,FALSE,91.44876981,0.981565936,0.881940662,0.929065893,527.5,0.21267871,0.633333333,0.310214031,3.3,0.953524701,0.99816699,0.975264225,171.7,1,0.949232007,0.973917085,270.6,0.600745914,0.780610684,0.677478958,49.9,0.526518253,0.93177415,0.671459869,48.2
TRUE,TRUE,FALSE,1000,(1-1),FALSE,FALSE,94.98692636,0.96838691,0.944016331,0.956025643,527.5,0.675,0.393333333,0.481666667,3.3,0.986087886,0.994653901,0.990311343,171.7,1,0.985553815,0.992715704,270.6,0.598713316,0.709966245,0.647659819,49.9,0.813263214,0.937278193,0.870415683,48.2
TRUE,TRUE,FALSE,1000,(1-1),TRUE,TRUE,94.98692636,0.96838691,0.944016331,0.956025643,527.5,0.675,0.393333333,0.481666667,3.3,0.986087886,0.994653901,0.990311343,171.7,1,0.985553815,0.992715704,270.6,0.598713316,0.709966245,0.647659819,49.9,0.813263214,0.937278193,0.870415683,48.2
TRUE,TRUE,FALSE,1000,(1-1),FALSE,TRUE,94.98692636,0.96838691,0.944016331,0.956025643,527.5,0.675,0.393333333,0.481666667,3.3,0.986087886,0.994653901,0.990311343,171.7,1,0.985553815,0.992715704,270.6,0.598713316,0.709966245,0.647659819,49.9,0.813263214,0.937278193,0.870415683,48.2
TRUE,TRUE,FALSE,1000,(1-1),TRUE,FALSE,94.98692636,0.96838691,0.944016331,0.956025643,527.5,0.675,0.393333333,0.481666667,3.3,0.986087886,0.994653901,0.990311343,171.7,1,0.985553815,0.992715704,270.6,0.598713316,0.709966245,0.647659819,49.9,0.813263214,0.937278193,0.870415683,48.2
TRUE,TRUE,FALSE,1000,(1-2),FALSE,FALSE,86.22114393,0.986171877,0.763755265,0.860705591,527.5,0.511190476,0.468333333,0.48047619,3.3,0.992792057,0.996886327,0.994793571,171.7,1,0.960020393,0.979581278,270.6,0.323350461,0.834553079,0.464510802,49.9,0.473235678,0.9632591,0.633721081,48.2
TRUE,TRUE,FALSE,1000,(1-2),TRUE,TRUE,86.22114393,0.986171877,0.763755265,0.860705591,527.5,0.511190476,0.468333333,0.48047619,3.3,0.992792057,0.996886327,0.994793571,171.7,1,0.960020393,0.979581278,270.6,0.323350461,0.834553079,0.464510802,49.9,0.473235678,0.9632591,0.633721081,48.2
