Lower Case,Remove Stop Words,Stem,Max Features,N-gram Range,TF,TFIDF,Alpha_Naive_Bayes,Binarize_Naive_Bayes,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Functional-Method Precision,Functional-Method Recall,Functional-Method F1-Score,Functional-Method Support,Functional-Module Precision,Functional-Module Recall,Functional-Module F1-Score,Functional-Module Support,Functional-Inline Precision,Functional-Inline Recall,Functional-Inline F1-Score,Functional-Inline Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support,ToDo Precision,ToDo Recall,ToDo F1-Score,ToDo Support
False,False,False,1000,1.1,False,False,1e-05,0.0,90.66456060035955,0.8440458771054699,0.8492565799014743,0.8410842778094174,0.9480525461295473,0.8656735235567352,0.9048844985292078,274.7,0.7976222121743546,0.8359616573902289,0.8157441898634472,98.8,0.7856130361426891,0.8422077922077922,0.8126570059697851,154.0,0.7,0.5583333333333332,0.6004761904761905,3.3,0.9982490140078879,0.9895144838841288,0.993846716792248,171.7,1.0,0.9793057263905973,0.9895240738894711,270.6,0.6233440899416542,0.787469387755102,0.694650696349049,49.9,0.899486118447626,0.9355867346938774,0.9168908506059414,48.2
False,False,False,1000,1.1,False,False,0.001,0.0,89.98302430424907,0.7811210455033534,0.8588506628197031,0.800712077756334,0.966606685301492,0.8605773059057731,0.9104470762876142,274.7,0.7988501796641978,0.8592455163883734,0.8275805491883563,98.8,0.783096539212014,0.8487012987012987,0.8143352729861583,154.0,0.19311507936507938,0.625,0.2768792026686763,3.3,0.9982490140078879,0.990095879232966,0.9941434219845888,171.7,1.0,0.9397567309006425,0.9688927076928501,270.6,0.61424916580879,0.8055918367346939,0.6960216418754711,49.9,0.8948017006673658,0.9418367346938774,0.9173967493669579,48.2
False,False,False,1000,1.1,False,False,1,0.0,86.72496237300894,0.7204475832685444,0.7799391733643946,0.7387067248869512,0.9935381935360091,0.8441990710019907,0.9127544749065043,274.7,0.7890388500204238,0.8957122242836529,0.8388169259876774,98.8,0.7171643495523041,0.8909090909090909,0.794399582630921,154.0,0.0819047619047619,0.125,0.09555555555555556,3.3,0.9965183099344455,0.9918434652522778,0.9941587320778471,171.7,1.0,0.8063359300259672,0.8925563158566998,270.6,0.6110519365481093,0.737469387755102,0.6671208507514146,49.9,0.5743642646523022,0.9480442176870747,0.7142913613289901,48.2
False,False,False,1000,1.2,False,False,1e-05,0.0,91.12198984071242,0.7862692052596396,0.8719389226158762,0.7977756337097947,0.9929448319081434,0.9166264100862641,0.9531570548439625,274.7,0.7762187790952698,0.9159760874046589,0.8400020884772825,98.8,0.9174987669949223,0.859090909090909,0.8869722220860659,154.0,0.07176022971281593,0.6333333333333333,0.12767334051027548,3.3,0.9988338093295253,0.9924248606011151,0.9956096876447493,171.7,1.0,0.8976329096624301,0.9459849862385831,270.6,0.6250887233888707,0.7956734693877551,0.6977546867255946,49.9,0.9078085016475692,0.9647534013605442,0.9350510031518434,48.2
False,False,False,1000,1.2,False,False,0.001,0.0,90.795253424753,0.7858468408797795,0.8699852852396415,0.7954282550118837,0.994903370863313,0.9155341738553417,0.9534636460831314,274.7,0.7705864912592721,0.9220470006184291,0.8391960671388017,98.8,0.9150048444927386,0.859090909090909,0.8858695251443794,154.0,0.061368730583038475,0.6333333333333333,0.11135003117253046,3.3,0.9988338093295253,0.9924248606011151,0.9956096876447493,171.7,1.0,0.885067650676507,0.9389604718461453,270.6,0.6371497016258546,0.7917551020408163,0.7051648980731494,49.9,0.9089277788844937,0.9606292517006801,0.9338117129921828,48.2
False,False,False,1000,1.2,False,False,1,0.0,88.07861079755288,0.7369932889115286,0.7900828721139534,0.7514955477761949,0.9991734972677596,0.896974120769741,0.9452052029429996,274.7,0.771585718381897,0.9280251494537209,0.8422172552348215,98.8,0.8123100092043,0.8766233766233766,0.8429976714909795,154.0,0.015181159420289853,0.11666666666666665,0.026671476671476672,3.3,0.9994082840236687,0.9807765537875698,0.9899911814775771,171.7,1.0,0.8037501708350417,0.890960995030178,270.6,0.6458031857724124,0.7696326530612245,0.7017444084067166,49.9,0.6524844572219004,0.9482142857142856,0.77217619095481,48.2
False,False,False,1000,1.3,False,False,1e-05,0.0,90.54319613417509,0.7813469699160558,0.8682333522678883,0.79227489365252,0.994508511176851,0.9159004644990045,0.9534929080635403,274.7,0.7648096347780631,0.9190063904349619,0.8346375418144707,98.8,0.9171990406563036,0.8519480519480519,0.8828234437387253,154.0,0.06772000504078104,0.6333333333333333,0.12131156308777791,3.3,0.9994082840236687,0.9813613491092072,0.9902896576780276,171.7,1.0,0.8858070247369142,0.9393740315737895,270.6,0.6025936351161315,0.7937142857142857,0.6829660967871234,49.9,0.9045366485366484,0.9647959183673469,0.9333039064767057,48.2
False,False,False,1000,1.3,False,False,0.001,0.0,90.46849958889031,0.7817145896328401,0.8676606401181266,0.7915242065134307,0.9960619193371109,0.9137146648971466,0.9530128820069537,274.7,0.7606803676246157,0.9240672026386314,0.8341897444749113,98.8,0.9184705943222735,0.8525974025974025,0.8838164454269503,154.0,0.05945465537539504,0.6333333333333333,0.10827130655157817,3.3,0.9994082840236687,0.9807765537875698,0.9899911814775771,171.7,1.0,0.8843282766160995,0.9385403610799334,270.6,0.6305307217946026,0.7897551020408163,0.7003807882196778,49.9,0.8891101745850543,0.9627125850340137,0.9239909428698642,48.2
False,False,False,1000,1.3,False,False,1,0.0,84.9419394623521,0.7286930570034975,0.7717133549962846,0.7350219545313963,0.9995833333333334,0.890058394160584,0.9415566359019186,274.7,0.7655901273368606,0.9422799422799424,0.8445439202580886,98.8,0.7543751280000348,0.8727272727272725,0.8089030409702443,154.0,0.008528046421663443,0.11666666666666665,0.01587037037037037,3.3,0.999375,0.9068101455188359,0.9505944462658247,171.7,1.0,0.7313174798414651,0.8444977401510151,270.6,0.6503135516318166,0.7656326530612244,0.7025885687223943,49.9,0.6517792693042711,0.9482142857142856,0.7716209136113145,48.2
False,False,False,5000,1.1,False,False,1e-05,0.0,89.9458241007846,0.863517198714861,0.8307464072990933,0.8364413943971307,0.8945955548135339,0.8722282680822827,0.8830532911238643,274.7,0.8160924552809788,0.7793444650587508,0.796799850452161,98.8,0.7883139528939489,0.8090909090909092,0.7981429078760697,154.0,0.8833333333333334,0.5333333333333333,0.6333333333333334,3.3,0.9988235294117647,0.9906874745002041,0.9947299421609757,171.7,1.0,0.9933497334973349,0.9966549250183376,270.6,0.6304067264746711,0.7633877551020409,0.689038048964872,49.9,0.8965720375106565,0.9045493197278912,0.8997788562474323,48.2
