Lower Case,Remove Stop Words,Stem,Max Features,N-gram Range,TF,TFIDF, alpha, F1score, accu ,Functional-Method Precision,Functional-Method Recall,Functional-Method F1-Score,Functional-Method Support,Functional-Module Precision,Functional-Module Recall,Functional-Module F1-Score,Functional-Module Support,Functional-Inline Precision,Functional-Inline Recall,Functional-Inline F1-Score,Functional-Inline Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support,ToDo Precision,ToDo Recall,ToDo F1-Score,ToDo-Support
True,False,False,1000,"(1, 1)",False,False,-1,81.88034732221197,90.16973953760609,0.8838720062189745,0.9241903383642913,0.9032285331282811,274.7,0.753156066900275,0.8286782971347326,0.7874550353909837,98.8,0.9090586704298627,0.6661978176671102,0.7681061846153204,154.0,0.48666666666666664,0.5416666666666667,0.4894805194805195,3.3,0.9943442233444214,0.9981669901327723,0.9962441248968137,171.7,0.9858074586952364,0.9973380122639632,0.991452103271293,270.6,0.6270633848673663,0.7661878409699441,0.6858435616882793,49.9,0.8927766191721286,0.9690388412205297,0.9286177233054664,48.2
True,False,False,1000,"(1, 1)",True,False,-1,81.52499120473493,90.44047096450522,0.838381815559137,0.9618707091532205,0.8956695020020421,274.7,0.7936776103721532,0.7756240719839087,0.783185943508219,98.8,0.9222437961079093,0.6639171628150623,0.7711351108448927,154.0,0.625,0.3383333333333333,0.4133333333333333,3.3,0.996549742237988,0.9981669901327723,0.9973494978384421,171.7,0.9873547915996508,0.9985359895950989,0.9928164602908003,270.6,0.6932300794296483,0.7427063858420462,0.7139281961351384,49.9,0.9521930452675036,0.9578816549109044,0.9545812524259267,48.2
True,False,False,1000,"(1, 1)",False,True,-1,77.4659458540482,89.37628036289144,0.8071278401526291,0.9583508003540985,0.8760466900335606,274.7,0.8138098512375163,0.718640882123922,0.7624403332131034,98.8,0.8918218386303784,0.664565944884784,0.7603364397551744,154.0,0.2533333333333333,0.15499999999999997,0.16547619047619047,3.3,0.99653974801547,0.996977098942881,0.9967506588623992,171.7,0.9875919662688777,0.9911351376135263,0.9892542218034037,270.6,0.7464564159558514,0.7341520441052078,0.7364950683462528,49.9,0.8987219904765544,0.9247626425373443,0.9104760658337712,48.2
True,False,False,1000,"(1, 2)",False,False,-1,80.6053936113962,89.41359379572725,0.8866686236953287,0.9240378428545915,0.9046532940204987,274.7,0.715354460838306,0.8295319660181797,0.7663154430306224,98.8,0.9332298708709402,0.6030266097097107,0.731354721116879,154.0,0.43499999999999994,0.5416666666666667,0.46963924963924963,3.3,0.9953967650981687,0.9981669901327723,0.996771342421577,171.7,0.9827890101325693,0.9985163377141333,0.990453387241834,270.6,0.5868009882010761,0.8044950166535022,0.6762541165580637,49.9,0.8763283862497607,0.9538738217340923,0.9129899348829715,48.2
True,False,False,1000,"(1, 2)",True,False,-1,77.86201519024512,89.92702802514042,0.8652391009703653,0.9492050789183889,0.9050311511741812,274.7,0.7434017163505436,0.8287408443470807,0.7816648483378039,98.8,0.9368820333428152,0.6350684235122429,0.7560340230372902,154.0,0.14166666666666666,0.19666666666666666,0.15343434343434342,3.3,0.9959815604198059,0.9981669901327723,0.9970645975535419,171.7,0.9839774365228153,0.9852044796871278,0.9844344316977949,270.6,0.6643893492972526,0.7794006426040341,0.7140695094756135,49.9,0.9252093048285961,0.9501080700052439,0.93722831050904,48.2
True,False,False,1000,"(1, 2)",False,True,-1,76.16781435397999,89.53501923157324,0.8515315889615211,0.9517826069682345,0.8986462303732943,274.7,0.7667752317651763,0.7994580981091814,0.7810013585470326,98.8,0.9114960951904022,0.634795220385222,0.7473527263647324,154.0,0.045,0.075,0.05357142857142858,3.3,0.9959773162979149,0.9980762987012988,0.9970168615506421,171.7,0.9810033129749858,0.9852044796871278,0.9829406504425326,270.6,0.6747411221128242,0.7549911901470503,0.7093566032614453,49.9,0.9011704822667005,0.9475724819036181,0.9235392892072911,48.2
True,False,False,1000,"(1, 3)",False,False,-1,79.17205914135175,89.01224793399948,0.8914568311139405,0.9196315997333112,0.9049819413655493,274.7,0.6922409316492315,0.830345057494457,0.7534620790828334,98.8,0.9424078604639273,0.5818502348520612,0.7189437401778432,154.0,0.38166666666666665,0.42666666666666664,0.395981240981241,3.3,0.9953925209762776,0.9975176394834216,0.9964434943738592,171.7,0.9852570577500002,0.9985163377141333,0.9917106377147757,270.6,0.5643595016136569,0.8146368928059198,0.664057965438306,49.9,0.8657563945536235,0.9560297240079192,0.9081836321737328,48.2
True,False,False,1000,"(1, 3)",True,False,-1,77.11083850953072,89.72170833507533,0.8708860255589421,0.9447509269657243,0.9060465980889628,274.7,0.7152255742712049,0.8407313018064555,0.771019020306374,98.8,0.9415623047504681,0.6234904526753147,0.7492010451531403,154.0,0.11499999999999999,0.15166666666666667,0.11746031746031749,3.3,0.9959815604198059,0.9981669901327723,0.9970645975535419,171.7,0.987646793744033,0.9852044796871278,0.9862684860370792,270.6,0.6476087502944429,0.7776891619933074,0.7034779270266494,49.9,0.9279241627278558,0.9501080700052441,0.938329089136392,48.2
True,False,False,1000,"(1, 3)",False,True,-1,75.86637550309047,89.41374186490518,0.8563907385960219,0.9452354904258238,0.8983990165981879,274.7,0.7285974506049409,0.8044081859275453,0.7631850526440384,98.8,0.9088463226034383,0.6356164981606024,0.7470602543851987,154.0,0.03333333333333333,0.025,0.028571428571428574,3.3,0.9959773162979149,0.9980762987012988,0.9970168615506421,171.7,0.9836077328368178,0.983724897633788,0.983493963648964,270.6,0.6921376305860127,0.7600887086566135,0.7201083992104064,49.9,0.9133963529482397,0.9517320016291757,0.9314750636383714,48.2
True,False,False,5000,"(1, 1)",False,False,-1,83.57974890314048,91.24332817704199,0.9141756311788019,0.9349061961154745,0.9241175953277363,274.7,0.78197201712552,0.8465784685441596,0.8114683948601004,98.8,0.9099790878541096,0.7197527501552202,0.8026929656461202,154.0,0.6383333333333333,0.5,0.5342857142857143,3.3,0.9569123089149354,0.9981669901327723,0.9770563768157503,171.7,0.9947428729135765,0.9894540323875909,0.9920802400936275,270.6,0.6653458022654922,0.782712550532994,0.7165892561683957,49.9,0.8988408207434965,0.9601906666538784,0.9280893690537946,48.2
