Lower Case,Remove Stop Words,Stem,Max Features,N-gram Range,TF,TFIDF,alpha, F1score, accu ,Functional-Method Precision,Functional-Method Recall,Functional-Method F1-Score,Functional-Method Support,Functional-Module Precision,Functional-Module Recall,Functional-Module F1-Score,Functional-Module Support,Functional-Inline Precision,Functional-Inline Recall,Functional-Inline F1-Score,Functional-Inline Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support,ToDo Precision,ToDo Recall,ToDo F1-Score,ToDo-Support
True,False,False,1000,"(1, 1)",False,False,2,80.72779118587542,89.26419199520605,0.8828094421121746,0.9174736301819998,0.8994625327117449,274.7,0.7544849506784943,0.8305950500755092,0.7893453351200328,98.8,0.9111032798094794,0.6544586705227193,0.7610461330970784,154.0,0.4766666666666667,0.4166666666666667,0.43095238095238103,3.3,0.9375883332767698,0.9981669901327723,0.9668358861502536,171.7,0.9839670883150353,0.9714641296401478,0.9775883480129386,270.6,0.6176320384160675,0.7944690384518315,0.692966850411023,49.9,0.9255196472235439,0.955798321577571,0.9400258284145812,48.2
True,False,False,1000,"(1, 1)",False,False,1,81.152088734553,89.86161628830638,0.8855457301901245,0.9171246050277879,0.9007543151722963,274.7,0.7542349451310315,0.8378960204931676,0.7924606035997477,98.8,0.9112506160238709,0.662322764603885,0.7663534833087012,154.0,0.4633333333333334,0.43666666666666665,0.4347186147186147,3.3,0.9676958601394917,0.9981669901327723,0.9826334614867221,171.7,0.9853411844315654,0.98817339972355,0.9866333186936787,270.6,0.6344801074353915,0.7879201322182434,0.6994792403948739,49.9,0.8947828993481751,0.9669555078871962,0.9291340613896051,48.2
True,False,False,1000,"(1, 1)",False,False,0.5,81.88319321978943,90.16971340775117,0.8846479445383585,0.923118304818378,0.903106131544687,274.7,0.755007193146858,0.8338700458454686,0.7907773419683829,98.8,0.9101607225986978,0.6628901253594178,0.7662896032997993,154.0,0.48666666666666664,0.5416666666666667,0.4894805194805195,3.3,0.9937824616597783,0.9981669901327723,0.9959608433635321,171.7,0.9858074586952364,0.9973380122639632,0.991452103271293,270.6,0.6289377506411822,0.7701474682991367,0.6884721153122418,49.9,0.8845995032965386,0.971261063442752,0.9251167993426967,48.2
True,False,False,1000,"(1, 1)",False,False,0.25,81.96946183368883,90.14172833312429,0.8826226409850761,0.9245345904677299,0.9027479817230489,274.7,0.7528622671601387,0.8243037276371499,0.785393875177958,98.8,0.9083164442544118,0.6640939123368621,0.766302919777847,154.0,0.5033333333333333,0.5416666666666667,0.499004329004329,3.3,0.9954553344555326,0.9981669901327723,0.9967996674480961,171.7,0.9858646015523792,0.9981927131186641,0.9918806309725481,270.6,0.6255325091570233,0.7661878409699441,0.6853928525326378,49.9,0.8934838872094713,0.9713115684932567,0.9300346900586411,48.2
True,False,False,1000,"(1, 1)",False,False,0.1,81.97113752601277,90.1137171286425,0.8805633703235728,0.9256228366619391,0.9021903338893859,274.7,0.7551089645379946,0.8132228297863193,0.7818057973644438,98.8,0.9068908293949584,0.6666892650438212,0.7673798051004181,154.0,0.5033333333333333,0.5416666666666667,0.5025757575757576,3.3,0.996549742237988,0.9981669901327723,0.99735122286863,171.7,0.9858646015523792,0.9981927131186641,0.9918806309725481,270.6,0.6182055530020424,0.7699131012478108,0.6819420222077592,49.9,0.9011006391161482,0.9673777271773399,0.93256543210208,48.2
True,False,False,1000,"(1, 1)",True,False,2,72.0571596642387,87.163804576557,0.7407611214854738,0.9796312823410934,0.8433228660152269,274.7,0.7841379823908355,0.6530991441726786,0.7118850217057024,98.8,0.900804907240879,0.6513407113347787,0.7546663132187476,154.0,0.0,0.0,0.0,3.3,0.9892164377381153,0.9981669901327723,0.9936475674369696,171.7,0.9762289948043232,0.9844367225400603,0.9801774123933379,270.6,0.8061360506320183,0.5076487857933588,0.6178123733890697,49.9,0.9928480204342272,0.7667103781924712,0.8630612189800416,48.2
True,False,False,1000,"(1, 1)",True,False,1,74.89045411589379,89.23626789024068,0.8014671783214432,0.9716793019634562,0.8781735836666824,274.7,0.7879657383797951,0.7406469651707089,0.7626011925685836,98.8,0.907960922778449,0.6740509282205309,0.7725666884380514,154.0,0.0,0.0,0.0,3.3,0.9942570080374887,0.9981669901327723,0.9961965206986229,171.7,0.9828111200109797,0.9848198643025124,0.9837219544373996,270.6,0.7752459011588572,0.6451848603161533,0.7002035048662136,49.9,0.9181576791307705,0.8795767358098712,0.8977728845959492,48.2
True,False,False,1000,"(1, 1)",True,False,0.5,75.70261993787014,89.88036010424071,0.8276359257495762,0.9659369751135303,0.891142623557575,274.7,0.7864128532099213,0.7815842432482978,0.7825057793174341,98.8,0.9162422325458082,0.6689235020284838,0.7724564573363357,154.0,0.0,0.0,0.0,3.3,0.9953967650981687,0.9981669901327723,0.996771342421577,171.7,0.9846272503737288,0.9848198643025124,0.9846232805636245,270.6,0.7466345082580468,0.7093475740376343,0.7235125797066315,49.9,0.8891098211787181,0.9226855111755834,0.9051975321264332,48.2
True,False,False,1000,"(1, 1)",True,False,0.25,77.57070063723219,90.25373831124492,0.8344848955295333,0.9623638515063799,0.8936024996468515,274.7,0.7905827747831627,0.7815343058908668,0.7846143299430592,98.8,0.9201850475144553,0.6668408617963233,0.772399478614408,154.0,0.3,0.065,0.10666666666666669,3.3,0.9959815604198059,0.9981669901327723,0.9970645975535419,171.7,0.9865815373436144,0.993838725508558,0.9900750329002582,270.6,0.7208641523371687,0.7429073686996219,0.7282025111883164,49.9,0.9249868857656762,0.9431698803949692,0.9330309344654735,48.2
True,False,False,1000,"(1, 1)",True,False,0.1,81.52499120473493,90.44047096450522,0.838381815559137,0.9618707091532205,0.8956695020020421,274.7,0.7936776103721532,0.7756240719839087,0.783185943508219,98.8,0.9222437961079093,0.6639171628150623,0.7711351108448927,154.0,0.625,0.3383333333333333,0.4133333333333333,3.3,0.996549742237988,0.9981669901327723,0.9973494978384421,171.7,0.9873547915996508,0.9985359895950989,0.9928164602908003,270.6,0.6932300794296483,0.7427063858420462,0.7139281961351384,49.9,0.9521930452675036,0.9578816549109044,0.9545812524259267,48.2
