Lower Case,Remove Stop Words,Stem,Max Features,N-gram Range,TF,TFIDF,alpha, F1score, accu ,Functional Precision,Functional Recall,Functional F1-Score,Functional Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support,ToDo Precision,ToDo Recall,ToDo F1-Score,ToDo-Support
<_io.TextIOWrapper name='outputNBdirectAlphaFunctional.csv' mode='w' encoding='cp1252'>,True,False,False,1000,'(1, 1)',False,False,2,81.18623778051571,93.64256274649162,0.9884876682878264,0.9051977437066048,0.9449789046334391,527.5,0.4766666666666667,0.4166666666666667,0.43095238095238103,3.3,0.9443534044554072,0.9981669901327723,0.9704325691934926,171.7,0.9930614620599563,0.9714641296401478,0.9821178994528312,270.6,0.5100537690196627,0.8611404120085767,0.6398432263564784,49.9,0.8494994743134254,0.9641771323093229,0.9028492862423206,48.2
<_io.TextIOWrapper name='outputNBdirectAlphaFunctional.csv' mode='w' encoding='cp1252'>,True,False,False,1000,'(1, 1)',False,False,1,81.97312721444828,94.18400818038657,0.9879126943268093,0.9073099543370425,0.9458509388373877,527.5,0.4633333333333334,0.4616666666666666,0.4537662337662338,3.3,0.9795260024357647,0.9981669901327723,0.9887097608640584,171.7,0.9942552714773549,0.98817339972355,0.9911795032256983,270.6,0.5097436137532542,0.8513970127479202,0.6368289584805022,49.9,0.8382596430608373,0.9772573955420253,0.9020522376930161,48.2
<_io.TextIOWrapper name='outputNBdirectAlphaFunctional.csv' mode='w' encoding='cp1252'>,True,False,False,1000,'(1, 1)',False,False,0.5,82.35279897529203,94.4454025391251,0.9879234576868313,0.9085024332498447,0.9465078931853746,527.5,0.4716666666666667,0.4916666666666667,0.4656709956709957,3.3,0.9948704493086951,0.9981669901327723,0.9965107800324475,171.7,0.9943142821010464,0.9973380122639632,0.9958172836466808,270.6,0.5085926413889037,0.8440295907551386,0.6337100618451255,49.9,0.8382466000609827,0.9793407288753585,0.9029509241368976,48.2
<_io.TextIOWrapper name='outputNBdirectAlphaFunctional.csv' mode='w' encoding='cp1252'>,True,False,False,1000,'(1, 1)',False,False,0.25,82.72429343548126,94.61343492620928,0.9877579047828398,0.9117648317014506,0.9482155879486095,527.5,0.4883333333333334,0.4916666666666667,0.47519480519480517,3.3,0.9959815604198061,0.9981669901327723,0.99706632258373,171.7,0.9943215253286286,0.9981927131186641,0.9962464525864881,270.6,0.5119676939852897,0.8415905663648946,0.6357564236643755,49.9,0.8521522334919863,0.9793407288753585,0.9109780141508684,48.2
<_io.TextIOWrapper name='outputNBdirectAlphaFunctional.csv' mode='w' encoding='cp1252'>,True,False,False,1000,'(1, 1)',False,False,0.1,83.24320667060798,94.66010284710899,0.9861743077843137,0.9136732445308944,0.9485136810884931,527.5,0.5033333333333333,0.5416666666666667,0.5025757575757576,3.3,0.996549742237988,0.9981669901327723,0.99735122286863,171.7,0.9946851616922651,0.9981927131186641,0.9964286019489652,270.6,0.5098239025013646,0.8344737145566453,0.6319369539837051,49.9,0.8672068908532033,0.9753706030891948,0.9177861827709275,48.2
<_io.TextIOWrapper name='outputNBdirectAlphaFunctional.csv' mode='w' encoding='cp1252'>,True,False,False,1000,'(1, 1)',True,False,2,67.1416070968236,93.72667474950178,0.8977346380036357,0.995652198336022,0.9441265727643454,527.5,0.0,0.0,0.0,3.3,0.9948412444152235,0.9981669901327723,0.9964912348096131,171.7,0.9920837889810707,0.9844367225400603,0.9882329853936515,270.6,0.7288628816144296,0.23686435446220538,0.35333471463023747,49.9,0.9901913875598087,0.6031166961262723,0.7463109182115681,48.2
<_io.TextIOWrapper name='outputNBdirectAlphaFunctional.csv' mode='w' encoding='cp1252'>,True,False,False,1000,'(1, 1)',True,False,1,73.31085292169189,95.50962798054543,0.9314723146502493,0.992123020354183,0.9607916976997887,527.5,0.0,0.0,0.0,3.3,0.9953967650981687,0.9981669901327723,0.996771342421577,171.7,0.9943699997779645,0.9848198643025124,0.9895630553655508,270.6,0.8635659211749742,0.44893265321204157,0.5835225016384357,49.9,0.9233989087146016,0.8214622781382614,0.8680025781761614,48.2
<_io.TextIOWrapper name='outputNBdirectAlphaFunctional.csv' mode='w' encoding='cp1252'>,True,False,False,1000,'(1, 1)',True,False,0.5,75.50638892164704,96.21908838162129,0.9476690711140117,0.9891035265958014,0.9678908347215167,527.5,0.0,0.0,0.0,3.3,0.9953925209762776,0.9975176394834216,0.9964434943738592,171.7,0.9951153674265469,0.9848198643025124,0.9899310302594218,270.6,0.8485543614777485,0.5687206941849042,0.6769166154469246,49.9,0.9057171996395599,0.8937296564186742,0.8992013604970994,48.2
<_io.TextIOWrapper name='outputNBdirectAlphaFunctional.csv' mode='w' encoding='cp1252'>,True,False,False,1000,'(1, 1)',True,False,0.25,77.02533707568392,96.60179494683446,0.953666408324049,0.9860825793643933,0.9695455461734452,527.5,0.1,0.02,0.03333333333333334,3.3,0.9965454981160967,0.9975176394834216,0.9970216497907243,171.7,0.9958955465829094,0.993838725508558,0.9948453486053852,270.6,0.8173652126763724,0.6109173208493516,0.6945330016209563,49.9,0.9483767085888701,0.9184098298338643,0.9322413450171911,48.2
<_io.TextIOWrapper name='outputNBdirectAlphaFunctional.csv' mode='w' encoding='cp1252'>,True,False,False,1000,'(1, 1)',True,False,0.1,83.6171660676267,96.97523412350014,0.9599351038983663,0.9847635297157048,0.9721506346466008,527.5,0.625,0.31333333333333335,0.3866666666666666,3.3,0.9965454981160967,0.9975176394834216,0.9970216497907243,171.7,0.9962923121251215,0.9985359895950989,0.9974100088196417,270.6,0.8054547428740977,0.6313876275876351,0.7054603259100573,49.9,0.9764233053286931,0.9412424493354624,0.9583206782239104,48.2
